ideo/Video_01 Input video still image Input video still image for service=CS14_TS15_MBC_Andong;inputVideo=Video_01;sdt=CS14_MBC_AnDong 
Nov 18 04:45:01.292984 CS14_TS15_MBC_Andong minor cleared alarm.capture.videoblackout liveEncodings/ab302d6e9b7f43d6b85d43e37e3e9b63/inputVideo/Video_01 Input video still image Input video still image for service=CS14_TS15_MBC_Andong;inputVideo=Video_01;sdt=CS14_MBC_AnDong 
Nov 19 02:38:12.496018 CS14_TS15_MBC_Andong minor raised alarm.capture.videoblackout liveEncodings/ab302d6e9b7f43d6b85d43e37e3e9b63/inputVideo/Video_01 Input video still image Input video still image for service=CS14_TS15_MBC_Andong;inputVideo=Video_01;sdt=CS14_MBC_AnDong 
Nov 19 02:38:35.606822 CS14_TS15_MBC_Andong minor cleared alarm.capture.videoblackout liveEncodings/ab302d6e9b7f43d6b85d43e37e3e9b63/inputVideo/Video_01 Input video still image Input video still image for service=CS14_TS15_MBC_Andong;inputVideo=Video_01;sdt=CS14_MBC_AnDong 
Nov 19 02:39:46.393746 CS14_TS15_MBC_Andong minor raised alarm.capture.videoblackout liveEncodings/ab302d6e9b7f43d6b85d43e37e3e9b63/inputVideo/Video_01 Input video still image Input video still image for service=CS14_TS15_MBC_Andong;inputVideo=Video_01;sdt=CS14_MBC_AnDong 
Nov 19 02:39:48.094260 CS14_TS15_MBC_Andong minor cleared alarm.capture.videoblackout liveEncodings/ab302d6e9b7f43d6b85d43e37e3e9b63/inputVideo/Video_01 Input video still image Input video still image for service=CS14_TS15_MBC_Andong;inputVideo=Video_01;sdt=CS14_MBC_AnDong 
Nov 19 02:42:10.219146 CS14_TS15_MBC_Andong minor raised alarm.capture.videoblackout liveEncodings/ab302d6e9b7f43d6b85d43e37e3e9b63/inputVideo/Video_01 Input video still image Input video still image for service=CS14_TS15_MBC_Andong;inputVideo=Video_01;sdt=CS14_MBC_AnDong 
Nov 19 02:42:19.992343 CS14_TS15_MBC_Andong minor cleared alarm.capture.videoblackout liveEncodings/ab302d6e9b7f43d6b85d43e37e3e9b63/inputVideo/Video_01 Input video still image Input video still image for service=CS14_TS15_MBC_Andong;inputVideo=Video_01;sdt=CS14_MBC_AnDong 
Nov 19 02:46:00.192889 CS14_TS15_MBC_Andong minor raised alarm.capture.videoblackout liveEncodings/ab302d6e9b7f43d6b85d43e37e3e9b63/inputVideo/Video_01 Input video still image Input video still image for service=CS14_TS15_MBC_Andong;inputVideo=Video_01;sdt=CS14_MBC_AnDong 
Nov 19 02:46:03.396061 CS14_TS15_MBC_Andong minor cleared alarm.capture.videoblackout liveEncodings/ab302d6e9b7f43d6b85d43e37e3e9b63/inputVideo/Video_01 Input video still image Input video still image for service=CS14_TS15_MBC_Andong;inputVideo=Video_01;sdt=CS14_MBC_AnDong 
Nov 19 02:47:17.293675 CS14_TS15_MBC_Andong minor raised alarm.capture.videoblackout liveEncodings/ab302d6e9b7f43d6b85d43e37e3e9b63/inputVideo/Video_01 Input video still image Input video still image for service=CS14_TS15_MBC_Andong;inputVideo=Video_01;sdt=CS14_MBC_AnDong 
Nov 19 02:48:43.392816 CS14_TS15_MBC_Andong minor cleared alarm.capture.videoblackout liveEncodings/ab302d6e9b7f43d6b85d43e37e3e9b63/inputVideo/Video_01 Input video still image Input video still image for service=CS14_TS15_MBC_Andong;inputVideo=Video_01;sdt=CS14_MBC_AnDong 
Nov 19 03:20:39.292653 CS14_TS15_MBC_Andong minor raised alarm.capture.videoblackout liveEncodings/ab302d6e9b7f43d6b85d43e37e3e9b63/inputVideo/Video_01 Input video still image Input video still image for service=CS14_TS15_MBC_Andong;inputVideo=Video_01;sdt=CS14_MBC_AnDong 
Nov 19 04:45:01.193251 CS14_TS15_MBC_Andong minor cleared alarm.capture.videoblackout liveEncodings/ab302d6e9b7f43d6b85d43e37e3e9b63/inputVideo/Video_01 Input video still image Input video still image for service=CS14_TS15_MBC_Andong;inputVideo=Video_01;sdt=CS14_MBC_AnDong 
Nov 20 03:34:51.213859 CS14_TS15_MBC_Andong minor raised alarm.capture.videoblackout liveEncodings/ab302d6e9b7f43d6b85d43e37e3e9b63/inputVideo/Video_01 Input video still image Input video still image for service=CS14_TS15_MBC_Andong;inputVideo=Video_01;sdt=CS14_MBC_AnDong 
Nov 20 04:45:01.159810 CS14_TS15_MBC_Andong minor cleared alarm.capture.videoblackout liveEncodings/ab302d6e9b7f43d6b85d43e37e3e9b63/inputVideo/Video_01 Input video still image Input video still image for service=CS14_TS15_MBC_Andong;inputVideo=Video_01;sdt=CS14_MBC_AnDong 
Nov 20 14:18:24.276708 CS14_TS15_MBC_Andong minor raised alarm.capture.videoblackout liveEncodings/ab302d6e9b7f43d6b85d43e37e3e9b63/inputVideo/Video_01 Input video still image Input video still image for service=CS14_TS15_MBC_Andong;inputVideo=Video_01;sdt=CS14_MBC_AnDong 
Nov 20 14:18:44.869247 CS14_TS15_MBC_Andong minor cleared alarm.capture.videoblackout liveEncodings/ab302d6e9b7f43d6b85d43e37e3e9b63/inputVideo/Video_01 Input video still image Input video still image for service=CS14_TS15_MBC_Andong;inputVideo=Video_01;sdt=CS14_MBC_AnDong 
Nov 20 14:38:11.162906 CS14_TS15_MBC_Andong minor raised alarm.capture.videoblackout liveEncodings/ab302d6e9b7f43d6b85d43e37e3e9b63/inputVideo/Video_01 Input video still image Input video still image for service=CS14_TS15_MBC_Andong;inputVideo=Video_01;sdt=CS14_MBC_AnDong 
Nov 20 14:38:32.686875 CS14_TS15_MBC_Andong minor cleared alarm.capture.videoblackout liveEncodings/ab302d6e9b7f43d6b85d43e37e3e9b63/inputVideo/Video_01 Input video still image Input video still image for service=CS14_TS15_MBC_Andong;inputVideo=Video_01;sdt=CS14_MBC_AnDong 
Nov 20 14:40:00.773216 CS14_TS15_MBC_Andong minor raised alarm.capture.videoblackout liveEncodings/ab302d6e9b7f43d6b85d43e37e3e9b63/inputVideo/Video_01 Input video still image Input video still image for service=CS14_TS15_MBC_Andong;inputVideo=Video_01;sdt=CS14_MBC_AnDong 
Nov 20 14:40:00.941502 CS14_TS15_MBC_Andong minor cleared alarm.capture.videoblackout liveEncodings/ab302d6e9b7f43d6b85d43e37e3e9b63/inputVideo/Video_01 Input video still image Input video still image for service=CS14_TS15_MBC_Andong;inputVideo=Video_01;sdt=CS14_MBC_AnDong 
Nov 20 14:41:58.692768 CS14_TS15_MBC_Andong minor raised alarm.capture.videoblackout liveEncodings/ab302d6e9b7f43d6b85d43e37e3e9b63/inputVideo/Video_01 Input video still image Input video still image for service=CS14_TS15_MBC_Andong;inputVideo=Video_01;sdt=CS14_MBC_AnDong 
Nov 20 14:41:58.756406 CS14_TS15_MBC_Andong minor cleared alarm.capture.videoblackout liveEncodings/ab302d6e9b7f43d6b85d43e37e3e9b63/inputVideo/Video_01 Input video still image Input video still image for service=CS14_TS15_MBC_Andong;inputVideo=Video_01;sdt=CS14_MBC_AnDong 
Nov 21 01:11:12.233571 CS14_TS15_MBC_Andong minor raised alarm.capture.videoblackout liveEncodings/ab302d6e9b7f43d6b85d43e37e3e9b63/inputVideo/Video_01 Input video still image Input video still image for service=CS14_TS15_MBC_Andong;inputVideo=Video_01;sdt=CS14_MBC_AnDong 
Nov 21 04:45:01.157246 CS14_TS15_MBC_Andong minor cleared alarm.capture.videoblackout liveEncodings/ab302d6e9b7f43d6b85d43e37e3e9b63/inputVideo/Video_01 Input video still image Input video still image for service=CS14_TS15_MBC_Andong;inputVideo=Video_01;sdt=CS14_MBC_AnDong 
Nov 21 14:41:25.325803 CS14_TS15_MBC_Andong minor raised alarm.capture.videoblackout liveEncodings/ab302d6e9b7f43d6b85d43e37e3e9b63/inputVideo/Video_01 Input video still image Input video still image for service=CS14_TS15_MBC_Andong;inputVideo=Video_01;sdt=CS14_MBC_AnDong 
Nov 21 14:41:40.508145 CS14_TS15_MBC_Andong minor cleared alarm.capture.videoblackout liveEncodings/ab302d6e9b7f43d6b85d43e37e3e9b63/inputVideo/Video_01 Input video still image Input video still image for service=CS14_TS15_MBC_Andong;inputVideo=Video_01;sdt=CS14_MBC_AnDong 
Nov 21 14:52:52.949294 CS14_TS15_MBC_Andong minor raised alarm.capture.videoblackout liveEncodings/ab302d6e9b7f43d6b85d43e37e3e9b63/inputVideo/Video_01 Input video still image Input video still image for service=CS14_TS15_MBC_Andong;inputVideo=Video_01;sdt=CS14_MBC_AnDong 
Nov 21 14:52:54.249480 CS14_TS15_MBC_Andong minor cleared alarm.capture.videoblackout liveEncodings/ab302d6e9b7f43d6b85d43e37e3e9b63/inputVideo/Video_01 Input video still image Input video still image for service=CS14_TS15_MBC_Andong;inputVideo=Video_01;sdt=CS14_MBC_AnDong 
Nov 21 15:13:07.524998 CS14_TS15_MBC_Andong minor raised alarm.capture.videoblackout liveEncodings/ab302d6e9b7f43d6b85d43e37e3e9b63/inputVideo/Video_01 Input video still image Input video still image for service=CS14_TS15_MBC_Andong;inputVideo=Video_01;sdt=CS14_MBC_AnDong 
Nov 21 15:13:22.874682 CS14_TS15_MBC_Andong minor cleared alarm.capture.videoblackout liveEncodings/ab302d6e9b7f43d6b85d43e37e3e9b63/inputVideo/Video_01 Input video still image Input video still image for service=CS14_TS15_MBC_Andong;inputVideo=Video_01;sdt=CS14_MBC_AnDong 
Nov 22 01:58:33.234599 CS14_TS15_MBC_Andong minor raised alarm.capture.videoblackout liveEncodings/ab302d6e9b7f43d6b85d43e37e3e9b63/inputVideo/Video_01 Input video still image Input video still image for service=CS14_TS15_MBC_Andong;inputVideo=Video_01;sdt=CS14_MBC_AnDong 
Nov 22 02:07:33.145456 CS14_TS15_MBC_Andong minor cleared alarm.capture.videoblackout liveEncodings/ab302d6e9b7f43d6b85d43e37e3e9b63/inputVideo/Video_01 Input video still image Input video still image for service=CS14_TS15_MBC_Andong;inputVideo=Video_01;sdt=CS14_MBC_AnDong 
Nov 22 04:36:01.246990 CS14_TS15_MBC_Andong minor raised alarm.capture.videoblackout liveEncodings/ab302d6e9b7f43d6b85d43e37e3e9b63/inputVideo/Video_01 Input video still image Input video still image for service=CS14_TS15_MBC_Andong;inputVideo=Video_01;sdt=CS14_MBC_AnDong 
Nov 22 04:45:01.157417 CS14_TS15_MBC_Andong minor cleared alarm.capture.videoblackout liveEncodings/ab302d6e9b7f43d6b85d43e37e3e9b63/inputVideo/Video_01 Input video still image Input video still image for service=CS14_TS15_MBC_Andong;inputVideo=Video_01;sdt=CS14_MBC_AnDong 
Nov 22 14:22:10.436743 CS14_TS15_MBC_Andong minor raised alarm.capture.videoblackout liveEncodings/ab302d6e9b7f43d6b85d43e37e3e9b63/inputVideo/Video_01 Input video still image Input video still image for service=CS14_TS15_MBC_Andong;inputVideo=Video_01;sdt=CS14_MBC_AnDong 
Nov 22 14:22:21.451679 CS14_TS15_MBC_Andong minor cleared alarm.capture.videoblackout liveEncodings/ab302d6e9b7f43d6b85d43e37e3e9b63/inputVideo/Video_01 Input video still image Input video still image for service=CS14_TS15_MBC_Andong;inputVideo=Video_01;sdt=CS14_MBC_AnDong 
Nov 23 04:36:01.244831 CS14_TS15_MBC_Andong minor raised alarm.capture.videoblackout liveEncodings/ab302d6e9b7f43d6b85d43e37e3e9b63/inputVideo/Video_01 Input video still image Input video still image for service=CS14_TS15_MBC_Andong;inputVideo=Video_01;sdt=CS14_MBC_AnDong 
Nov 23 04:45:01.187357 CS14_TS15_MBC_Andong minor cleared alarm.capture.videoblackout liveEncodings/ab302d6e9b7f43d6b85d43e37e3e9b63/inputVideo/Video_01 Input video still image Input video still image for service=CS14_TS15_MBC_Andong;inputVideo=Video_01;sdt=CS14_MBC_AnDong 
Nov 23 10:21:08.214834 CS14_TS15_MBC_Andong notice event alarm.encoder.channel.stopped liveEncodings/ab302d6e9b7f43d6b85d43e37e3e9b63 Encoding stopped Encoding is stopped for service=CS14_TS15_MBC_Andong;sdt=CS14_MBC_AnDong 
Nov 23 10:21:26.282646 CS14_TS15_MBC_Andong notice event alarm.automation.lineup.input.status liveEncodings/ab302d6e9b7f43d6b85d43e37e3e9b63 Automation input updated status Live input updated with state=active with status=success for service=CS14_TS15_MBC_Andong;input=TC16_TS15;msg=line up available: start on default service;sdt=CS14_MBC_AnDong 
Nov 23 10:21:26.316043 CS14_TS15_MBC_Andong notice event alarm.encoder.channel.started liveEncodings/ab302d6e9b7f43d6b85d43e37e3e9b63 Encoding started Encoding is started for service=CS14_TS15_MBC_Andong;sdt=CS14_MBC_AnDong 
Nov 23 14:13:31.607488 CS14_TS15_MBC_Andong minor raised alarm.capture.videoblackout liveEncodings/ab302d6e9b7f43d6b85d43e37e3e9b63/inputVideo/Video_01 Input video still image Input video still image for service=CS14_TS15_MBC_Andong;inputVideo=Video_01;sdt=CS14_MBC_AnDong 
Nov 23 14:14:07.007177 CS14_TS15_MBC_Andong minor cleared alarm.capture.videoblackout liveEncodings/ab302d6e9b7f43d6b85d43e37e3e9b63/inputVideo/Video_01 Input video still image Input video still image for service=CS14_TS15_MBC_Andong;inputVideo=Video_01;sdt=CS14_MBC_AnDong 
Nov 23 14:17:36.307266 CS14_TS15_MBC_Andong minor raised alarm.capture.videoblackout liveEncodings/ab302d6e9b7f43d6b85d43e37e3e9b63/inputVideo/Video_01 Input video still image Input video still image for service=CS14_TS15_MBC_Andong;inputVideo=Video_01;sdt=CS14_MBC_AnDong 
Nov 23 14:17:43.907503 CS14_TS15_MBC_Andong minor cleared alarm.capture.videoblackout liveEncodings/ab302d6e9b7f43d6b85d43e37e3e9b63/inputVideo/Video_01 Input video still image Input video still image for service=CS14_TS15_MBC_Andong;inputVideo=Video_01;sdt=CS14_MBC_AnDong 
Nov 23 14:19:30.405444 CS14_TS15_MBC_Andong minor raised alarm.capture.videoblackout liveEncodings/ab302d6e9b7f43d6b85d43e37e3e9b63/inputVideo/Video_01 Input video still image Input video still image for service=CS14_TS15_MBC_Andong;inputVideo=Video_01;sdt=CS14_MBC_AnDong 
Nov 23 14:20:02.205576 CS14_TS15_MBC_Andong minor cleared alarm.capture.videoblackout liveEncodings/ab302d6e9b7f43d6b85d43e37e3e9b63/inputVideo/Video_01 Input video still image Input video still image for service=CS14_TS15_MBC_Andong;inputVideo=Video_01;sdt=CS14_MBC_AnDong 
Nov 23 14:43:31.306353 CS14_TS15_MBC_Andong minor raised alarm.capture.videoblackout liveEncodings/ab302d6e9b7f43d6b85d43e37e3e9b63/inputVideo/Video_01 Input video still image Input video still image for service=CS14_TS15_MBC_Andong;inputVideo=Video_01;sdt=CS14_MBC_AnDong 
Nov 23 14:43:36.907226 CS14_TS15_MBC_Andong minor cleared alarm.capture.videoblackout liveEncodings/ab302d6e9b7f43d6b85d43e37e3e9b63/inputVideo/Video_01 Input video still image Input video still image for service=CS14_TS15_MBC_Andong;inputVideo=Video_01;sdt=CS14_MBC_AnDong 
Nov 23 14:48:45.505092 CS14_TS15_MBC_Andong minor raised alarm.capture.videoblackout liveEncodings/ab302d6e9b7f43d6b85d43e37e3e9b63/inputVideo/Video_01 Input video still image Input video still image for service=CS14_TS15_MBC_Andong;inputVideo=Video_01;sdt=CS14_MBC_AnDong 
Nov 23 14:49:53.607337 CS14_TS15_MBC_Andong minor cleared alarm.capture.videoblackout liveEncodings/ab302d6e9b7f43d6b85d43e37e3e9b63/inputVideo/Video_01 Input video still image Input video still image for service=CS14_TS15_MBC_Andong;inputVideo=Video_01;sdt=CS14_MBC_AnDong 
Nov 23 14:53:18.905721 CS14_TS15_MBC_Andong minor raised alarm.capture.videoblackout liveEncodings/ab302d6e9b7f43d6b85d43e37e3e9b63/inputVideo/Video_01 Input video still image Input video still image for service=CS14_TS15_MBC_Andong;inputVideo=Video_01;sdt=CS14_MBC_AnDong 
Nov 23 14:53:24.407165 CS14_TS15_MBC_Andong minor cleared alarm.capture.videoblackout liveEncodings/ab302d6e9b7f43d6b85d43e37e3e9b63/inputVideo/Video_01 Input video still image Input video still image for service=CS14_TS15_MBC_Andong;inputVideo=Video_01;sdt=CS14_MBC_AnDong 
Nov 24 01:53:13.405268 CS14_TS15_MBC_Andong minor raised alarm.capture.videoblackout liveEncodings/ab302d6e9b7f43d6b85d43e37e3e9b63/inputVideo/Video_01 Input video still image Input video still image for service=CS14_TS15_MBC_Andong;inputVideo=Video_01;sdt=CS14_MBC_AnDong 
Nov 24 01:57:13.305707 CS14_TS15_MBC_Andong minor cleared alarm.capture.videoblackout liveEncodings/ab302d6e9b7f43d6b85d43e37e3e9b63/inputVideo/Video_01 Input video still image Input video still image for service=CS14_TS15_MBC_Andong;inputVideo=Video_01;sdt=CS14_MBC_AnDong 
Nov 24 04:36:01.307525 CS14_TS15_MBC_Andong minor raised alarm.capture.videoblackout liveEncodings/ab302d6e9b7f43d6b85d43e37e3e9b63/inputVideo/Video_01 Input video still image Input video still image for service=CS14_TS15_MBC_Andong;inputVideo=Video_01;sdt=CS14_MBC_AnDong 
Nov 24 04:45:01.305387 CS14_TS15_MBC_Andong minor cleared alarm.capture.videoblackout liveEncodings/ab302d6e9b7f43d6b85d43e37e3e9b63/inputVideo/Video_01 Input video still image Input video still image for service=CS14_TS15_MBC_Andong;inputVideo=Video_01;sdt=CS14_MBC_AnDong 
Nov 24 14:46:49.107323 CS14_TS15_MBC_Andong minor raised alarm.capture.videoblackout liveEncodings/ab302d6e9b7f43d6b85d43e37e3e9b63/inputVideo/Video_01 Input video still image Input video still image for service=CS14_TS15_MBC_Andong;inputVideo=Video_01;sdt=CS14_MBC_AnDong 
Nov 24 14:46:49.606088 CS14_TS15_MBC_Andong minor cleared alarm.capture.videobNov 14 15:04:45.206349 CS14_TS15_MBC_Andong minor raised alarm.capture.videoblackout liveEncodings/ab302d6e9b7f43d6b85d43e37e3e9b63/inputVideo/Video_01 Input video still image Input video still image for service=CS14_TS15_MBC_Andong;inputVideo=Video_01;sdt=CS14_MBC_AnDong 
Nov 14 15:04:49.643611 CS14_TS15_MBC_Andong minor cleared alarm.capture.videoblackout liveEncodings/ab302d6e9b7f43d6b85d43e37e3e9b63/inputVideo/Video_01 Input video still image Input video still image for service=CS14_TS15_MBC_Andong;inputVideo=Video_01;sdt=CS14_MBC_AnDong 
Nov 14 15:30:29.383899 CS14_TS15_MBC_Andong minor raised alarm.capture.videoblackout liveEncodings/ab302d6e9b7f43d6b85d43e37e3e9b63/inputVideo/Video_01 Input video still image Input video still image for service=CS14_TS15_MBC_Andong;inputVideo=Video_01;sdt=CS14_MBC_AnDong 
Nov 14 15:30:31.251611 CS14_TS15_MBC_Andong minor cleared alarm.capture.videoblackout liveEncodings/ab302d6e9b7f43d6b85d43e37e3e9b63/inputVideo/Video_01 Input video still image Input video still image for service=CS14_TS15_MBC_Andong;inputVideo=Video_01;sdt=CS14_MBC_AnDong 
Nov 15 01:12:51.444866 CS14_TS15_MBC_Andong minor raised alarm.capture.videoblackout liveEncodings/ab302d6e9b7f43d6b85d43e37e3e9b63/inputVideo/Video_01 Input video still image Input video still image for service=CS14_TS15_MBC_Andong;inputVideo=Video_01;sdt=CS14_MBC_AnDong 
Nov 15 01:13:14.567704 CS14_TS15_MBC_Andong minor cleared alarm.capture.videoblackout liveEncodings/ab302d6e9b7f43d6b85d43e37e3e9b63/inputVideo/Video_01 Input video still image Input video still image for service=CS14_TS15_MBC_Andong;inputVideo=Video_01;sdt=CS14_MBC_AnDong 
Nov 15 01:14:25.938570 CS14_TS15_MBC_Andong minor raised alarm.capture.videoblackout liveEncodings/ab302d6e9b7f43d6b85d43e37e3e9b63/inputVideo/Video_01 Input video still image Input video still image for service=CS14_TS15_MBC_Andong;inputVideo=Video_01;sdt=CS14_MBC_AnDong 
Nov 15 01:14:27.041185 CS14_TS15_MBC_Andong minor cleared alarm.capture.videoblackout liveEncodings/ab302d6e9b7f43d6b85d43e37e3e9b63/inputVideo/Video_01 Input video still image Input video still image for service=CS14_TS15_MBC_Andong;inputVideo=Video_01;sdt=CS14_MBC_AnDong 
Nov 15 01:16:49.182677 CS14_TS15_MBC_Andong minor raised alarm.capture.videoblackout liveEncodings/ab302d6e9b7f43d6b85d43e37e3e9b63/inputVideo/Video_01 Input video still image Input video still image for service=CS14_TS15_MBC_Andong;inputVideo=Video_01;sdt=CS14_MBC_AnDong 
Nov 15 01:16:58.891603 CS14_TS15_MBC_Andong minor cleared alarm.capture.videoblackout liveEncodings/ab302d6e9b7f43d6b85d43e37e3e9b63/inputVideo/Video_01 Input video still image Input video still image for service=CS14_TS15_MBC_Andong;inputVideo=Video_01;sdt=CS14_MBC_AnDong 
Nov 15 01:20:38.911296 CS14_TS15_MBC_Andong minor raised alarm.capture.videoblackout liveEncodings/ab302d6e9b7f43d6b85d43e37e3e9b63/inputVideo/Video_01 Input video still image Input video still image for service=CS14_TS15_MBC_Andong;inputVideo=Video_01;sdt=CS14_MBC_AnDong 
Nov 15 01:20:42.348507 CS14_TS15_MBC_Andong minor cleared alarm.capture.videoblackout liveEncodings/ab302d6e9b7f43d6b85d43e37e3e9b63/inputVideo/Video_01 Input video still image Input video still image for service=CS14_TS15_MBC_Andong;inputVideo=Video_01;sdt=CS14_MBC_AnDong 
Nov 15 01:21:56.221946 CS14_TS15_MBC_Andong minor raised alarm.capture.videoblackout liveEncodings/ab302d6e9b7f43d6b85d43e37e3e9b63/inputVideo/Video_01 Input video still image Input video still image for service=CS14_TS15_MBC_Andong;inputVideo=Video_01;sdt=CS14_MBC_AnDong 
