8 00:59:36.078795 BS18_TS05_TEST_02  [SOURCE 1_0] [ROUTING] Start routing
Aug  8 00:59:36.078807 BS18_TS05_TEST_02  [SOURCE 1_0] [ROUTING] Routing output stream 0, type:VIDEO
Aug  8 00:59:36.078814 BS18_TS05_TEST_02  [SOURCE 1_0] [ROUTING] Routing output stream 1, type:AUDIO
Aug  8 00:59:36.078820 BS18_TS05_TEST_02  [SOURCE 1_0] [ROUTING] Routing output stream 2, type:AUDIO
Aug  8 00:59:36.078825 BS18_TS05_TEST_02  [SOURCE 1_0] [ROUTING] Finished routing
Aug  8 00:59:36.078863 BS18_TS05_TEST_02  [SOURCE 1_0] [ROUTING] inputStream with same type not found
Aug  8 00:59:36.078880 BS18_TS05_TEST_02  [SOURCE 1_0] [ROUTING] inputStream with same type not found
Aug  8 00:59:36.078974 BS18_TS05_TEST_02  [SOURCE 1_1] [ROUTING] Start routing
Aug  8 00:59:36.078983 BS18_TS05_TEST_02  [SOURCE 1_1] [ROUTING] Routing output stream 0, type:VIDEO
Aug  8 00:59:36.078989 BS18_TS05_TEST_02  [SOURCE 1_1] [ROUTING] Routing output stream 1, type:AUDIO
Aug  8 00:59:36.078995 BS18_TS05_TEST_02  [SOURCE 1_1] [ROUTING] Routing output stream 2, type:AUDIO
Aug  8 00:59:36.079000 BS18_TS05_TEST_02  [SOURCE 1_1] [ROUTING] Finished routing
Aug  8 00:59:36.079024 BS18_TS05_TEST_02  [SOURCE 1_1] [ROUTING] inputStream with same type not found
Aug  8 00:59:36.079041 BS18_TS05_TEST_02  [SOURCE 1_1] [ROUTING] inputStream with same type not found
Aug  8 00:59:36.079108 BS18_TS05_TEST_02  [SOURCE 2_0] [ROUTING] Start routing
Aug  8 00:59:36.079114 BS18_TS05_TEST_02  [SOURCE 2_0] [ROUTING] Routing output stream 0, type:VIDEO
Aug  8 00:59:36.079120 BS18_TS05_TEST_02  [SOURCE 2_0] [ROUTING] Routing output stream 1, type:AUDIO
Aug  8 00:59:36.079127 BS18_TS05_TEST_02  [SOURCE 2_0] [ROUTING] Routing output stream 2, type:AUDIO
Aug  8 00:59:36.079132 BS18_TS05_TEST_02  [SOURCE 2_0] [ROUTING] Finished routing
Aug  8 00:59:36.079155 BS18_TS05_TEST_02  [SOURCE 2_0] [ROUTING] inputStream with same type not found
Aug  8 00:59:36.079172 BS18_TS05_TEST_02  [SOURCE 2_0] [ROUTING] inputStream with same type not found
Aug  8 00:59:36.079233 BS18_TS05_TEST_02  [SOURCE 2_1] [ROUTING] Start routing
Aug  8 00:59:36.079240 BS18_TS05_TEST_02  [SOURCE 2_1] [ROUTING] Routing output stream 0, type:VIDEO
Aug  8 00:59:36.079246 BS18_TS05_TEST_02  [SOURCE 2_1] [ROUTING] Routing output stream 1, type:AUDIO
Aug  8 00:59:36.079252 BS18_TS05_TEST_02  [SOURCE 2_1] [ROUTING] Routing output stream 2, type:AUDIO
Aug  8 00:59:36.079257 BS18_TS05_TEST_02  [SOURCE 2_1] [ROUTING] Finished routing
Aug  8 00:59:36.079280 BS18_TS05_TEST_02  [SOURCE 2_1] [ROUTING] inputStream with same type not found
Aug  8 00:59:36.079297 BS18_TS05_TEST_02  [SOURCE 2_1] [ROUTING] inputStream with same type not found
Aug  8 00:59:36.082406 BS18_TS05_TEST_02  [CONFIG] Configuration parsed with success
Aug  8 00:59:36.082469 BS18_TS05_TEST_02  [GENERAL] License status=wait for license
Aug  8 00:59:36.084036 BS18_TS05_TEST_02  [GENERAL] Register in serviceDiscovery interface 'esamreceiver' for networkName 'BS18_05'
Aug  8 00:59:36.163078 BS18_TS05_TEST_02  [GENERAL] License status=started
Aug  8 00:59:36.601433 BS18_TS05_TEST_02  [SOURCE 1_0] [INPUT] Select program by PMT (use default program number)
Aug  8 00:59:36.605621 BS18_TS05_TEST_02  [SOURCE 1_1] [INPUT] Select program by PMT (use default program number)
Aug  8 00:59:37.169511 BS18_TS05_TEST_02  [SOURCE 1_0] [INPUT] Detected program 500
Aug  8 00:59:37.169875 BS18_TS05_TEST_02  [SOURCE 1_0] [INPUT] Detected Video: PID=5005 (0x138d) codec=h264
Aug  8 00:59:37.169897 BS18_TS05_TEST_02  [SOURCE 1_0] [INPUT] Detected Audio: PID=5006 (0x138e) codec=ac3, language=kor
Aug  8 00:59:37.169917 BS18_TS05_TEST_02  [SOURCE 1_0] [ROUTING] Start routing
Aug  8 00:59:37.169924 BS18_TS05_TEST_02  [SOURCE 1_0] [ROUTING] Input stream 0, type:VIDEO, PID 0x138d
Aug  8 00:59:37.169931 BS18_TS05_TEST_02  [SOURCE 1_0] [ROUTING] Input stream 1, type:AUDIO, PID 0x138e
Aug  8 00:59:37.169938 BS18_TS05_TEST_02  [SOURCE 1_0] [ROUTING] Routing output stream 0, type:VIDEO
Aug  8 00:59:37.169971 BS18_TS05_TEST_02  [SOURCE 1_0] [ROUTING] Matched input stream 0, type:VIDEO, PID 0x138d
Aug  8 00:59:37.169983 BS18_TS05_TEST_02  [SOURCE 1_0] [ROUTING] Routing output stream 1, type:AUDIO
Aug  8 00:59:37.169992 BS18_TS05_TEST_02  [SOURCE 1_0] [ROUTING] Matched input stream 1, type:AUDIO, PID 0x138e
Aug  8 00:59:37.170000 BS18_TS05_TEST_02  [SOURCE 1_0] [ROUTING] Routing output stream 2, type:AUDIO
Aug  8 00:59:37.170009 BS18_TS05_TEST_02  [SOURCE 1_0] [ROUTING] Matched input stream 1, type:AUDIO, PID 0x138e
Aug  8 00:59:37.170015 BS18_TS05_TEST_02  [SOURCE 1_0] [ROUTING] Finished routing
Aug  8 00:59:37.170031 BS18_TS05_TEST_02  [SOURCE 1_0] [ROUTING] Routing for input PID=5005 (0x138d) on PID=32 (0x20)
Aug  8 00:59:37.170127 BS18_TS05_TEST_02  [SOURCE 1_0] [ROUTING] Routing for input PID=5006 (0x138e) on PID=33 (0x21)
Aug  8 00:59:37.170185 BS18_TS05_TEST_02  [SOURCE 1_0] [ROUTING] Routing for input PID=5006 (0x138e) on PID=34 (0x22)
Aug  8 00:59:37.339140 BS18_TS05_TEST_02  [SOURCE 1_1] [INPUT] Detected program 500
Aug  8 00:59:37.339278 BS18_TS05_TEST_02  [SOURCE 1_1] [INPUT] Detected Video: PID=5005 (0x138d) codec=h264
Aug  8 00:59:37.339294 BS18_TS05_TEST_02  [SOURCE 1_1] [INPUT] Detected Audio: PID=5006 (0x138e) codec=ac3, language=kor
Aug  8 00:59:37.339314 BS18_TS05_TEST_02  [SOURCE 1_1] [ROUTING] Start routing
Aug  8 00:59:37.339321 BS18_TS05_TEST_02  [SOURCE 1_1] [ROUTING] Input stream 0, type:VIDEO, PID 0x138d
Aug  8 00:59:37.339327 BS18_TS05_TEST_02  [SOURCE 1_1] [ROUTING] Input stream 1, type:AUDIO, PID 0x138e
Aug  8 00:59:37.339334 BS18_TS05_TEST_02  [SOURCE 1_1] [ROUTING] Routing output stream 0, type:VIDEO
Aug  8 00:59:37.339349 BS18_TS05_TEST_02  [SOURCE 1_1] [ROUTING] Matched input stream 0, type:VIDEO, PID 0x138d
