
2022-07-12 18:57:26,460 | ini_setup | INFO     | return code 0
2022-07-12 18:57:26,460 | ini_setup | INFO     | ---
2022-07-12 19:36:46,483 | ini_setup | INFO     | configure /opt/ericsson/template-api/etc/template-api.ini from /opt/ericsson/template-api/etc/template-api.ini
2022-07-12 19:36:46,483 | ini_setup | INFO     | [server]host=127.0.0.1
2022-07-12 19:36:46,483 | ini_setup | INFO     | [server]port=8004
2022-07-12 19:36:46,483 | ini_setup | INFO     | [storage]url=mongodb://127.0.0.1:27017/envivioCluster
2022-07-12 19:36:46,483 | ini_setup | INFO     | return code 0
2022-07-12 19:36:46,483 | ini_setup | INFO     | ---
2023-08-08 00:31:59,256 | ini_setup | INFO     | configure /opt/ericsson/template-api/etc/template-api.ini from /opt/ericsson/template-api/etc/template-api.ini
2023-08-08 00:31:59,257 | ini_setup | INFO     | [server]host=127.0.0.1
2023-08-08 00:31:59,257 | ini_setup | INFO     | [server]port=8004
2023-08-08 00:31:59,257 | ini_setup | INFO     | [storage]url=mongodb://127.0.0.1:27017/envivioCluster
2023-08-08 00:31:59,258 | ini_setup | INFO     | return code 0
2023-08-08 00:31:59,258 | ini_setup | INFO     | ---
2022-05-12 15:30:38,838 | ini_setup | INFO     | configure /opt/ericsson/template-api/etc/template-api.ini from /opt/ericsson/template-api/etc/template-api.ini
2022-05-12 15:30:38,838 | ini_setup | INFO     | [server]host=127.0.0.1
2022-05-12 15:30:38,838 | ini_setup | INFO     | [server]port=8004
2022-05-12 15:30:38,838 | ini_setup | INFO     | [storage]url=mongodb://127.0.0.1:27017/envivioCluster
2022-05-12 15:30:38,838 | ini_setup | INFO     | return code 0
2022-05-12 15:30:38,838 | ini_setup | INFO     | ---
2022-05-12 16:04:45,216 | ini_setup | INFO     | configure /opt/ericsson/template-api/etc/template-api.ini from /opt/ericsson/template-api/etc/template-api.ini
2022-05-12 16:04:45,216 | ini_setup | INFO     | [server]host=127.0.0.1
2022-05-12 16:04:45,216 | ini_setup | INFO     | [server]port=8004
2022-05-12 16:04:45,216 | ini_setup | INFO     | [storage]url=mongodb://127.0.0.1:27017/envivioCluster
2022-05-12 16:04:45,216 | ini_setup | INFO     | return code 0
2022-05-12 16:04:45,216 | ini_setup | INFO     | ---
2022-05-13 11:41:06,085 | ini_setup | INFO     | configure /opt/ericsson/template-api/etc/template-api.ini from /opt/ericsson/template-api/etc/template-api.ini
2022-05-13 11:41:06,086 | ini_setup | INFO     | [server]host=127.0.0.1
2022-05-13 11:41:06,086 | ini_setup | INFO     | [server]port=8004
2022-05-13 11:41:06,086 | ini_setup | INFO     | [storage]url=mongodb://127.0.0.1:27017/envivioCluster
2022-05-13 11:41:06,086 | ini_setup | INFO     | return code 0
2022-05-13 11:41:06,086 | ini_setup | INFO     | ---
2022-07-12 18:57:26,459 | ini_setup | INFO     | configure /opt/ericsson/template-api/etc/template-api.ini from /opt/ericsson/template-api/etc/template-api.ini
2022-07-12 18:57:26,460 | ini_setup | INFO     | [server]host=127.0.0.1
2022-07-12 18:57:26,460 | ini_setup | INFO     | [server]port=8004
2022-07-12 18:57:26,460 | ini_setup | INFO     | [storage]url=mongodb://127.0.0.1:27017/envivioCluster
