
-----------Logging : sel info ---------------------------
SEL Information
Version          : 1.5 (v1.5, v2 compliant)
Entries          : 240
Free Space       : 65535 bytes or more
Percent Used     : unknown
Last Add Time    : 02/27/2024 01:05:45
Last Del Time    : 05/24/2021 02:54:22
Overflow         : false
Supported Cmds   : 'Partial Add' 'Reserve' 'Get Alloc Info' 
# of Alloc Units : 4000
Alloc Unit Size  : 24
# Free Units     : 3760
Largest Free Blk : 3760
Max Record Size  : 1

-----------Logging : sel list ---------------------------
   1 | 05/24/2021 | 02:54:22 | Event Logging Disabled #0x07 | Log area reset/cleared | Asserted
   2 | 05/24/2021 | 02:55:27 | Unknown #0xda |  | Asserted
   3 | 05/24/2021 | 02:55:27 | Fan #0x0c | Fully Redundant | Asserted
   4 | 05/24/2021 | 02:55:27 | Power Supply #0x50 | Presence detected | Asserted
   5 | 05/24/2021 | 02:55:28 | Power Supply #0x51 | Presence detected | Asserted
   6 | 05/24/2021 | 02:55:28 | Module / Board #0x0e | Device Present | Asserted
   7 | 05/24/2021 | 02:55:28 | Processor #0x70 | Presence detected | Asserted
   8 | 05/24/2021 | 02:55:28 | Processor #0x71 | Presence detected | Asserted
   9 | 05/24/2021 | 02:55:42 | Management Subsys Health #0x81 | State Asserted | Asserted
   a | 05/24/2021 | 02:55:58 | Drive Slot / Bay #0xf0 | Drive Present | Asserted
   b | 05/24/2021 | 02:56:55 | Power Unit #0x02 | Fully Redundant | Asserted
   c | 05/24/2021 | 08:33:57 | Power Unit #0x01 | Power off/down | Asserted
   d | 09/20/2021 | 17:21:57 | Unknown #0xda |  | Asserted
   e | 09/20/2021 | 17:21:58 | Fan #0x0c | Fully Redundant | Asserted
   f | 09/20/2021 | 17:21:59 | Power Supply #0x50 | Presence detected | Asserted
  10 | 09/20/2021 | 17:21:59 | Power Supply #0x51 | Presence detected | Asserted
  11 | 09/20/2021 | 17:21:59 | Processor #0x70 | Presence detected | Asserted
  12 | 09/20/2021 | 17:21:59 | Processor #0x71 | Presence detected | Asserted
  13 | 09/20/2021 | 17:23:18 | Power Unit #0x02 | Fully Redundant | Asserted
  14 | 09/20/2021 | 17:24:19 | Button #0x09 | Power Button pressed | Asserted
  15 | 09/20/2021 | 17:24:21 | Power Unit #0x01 | AC lost | Asserted
  16 | 09/20/2021 | 17:24:21 | Power Unit #0x01 | AC lost | Deasserted
  17 | 09/20/2021 | 17:24:23 | Module / Board #0x0e | Device Present | Asserted
  18 | 09/20/2021 | 17:24:55 | Drive Slot / Bay #0xf0 | Drive Present | Asserted
  19 | 09/20/2021 | 17:25:04 | System Event #0x08 |  | Asserted
  1a | 09/20/2021 | 17:25:04 | System Event #0x83 | OEM System boot event | Asserted
  1b | 09/20/2021 | 10:27:39 | Power Unit #0x01 | Power off/down | Asserted
  1c | 09/20/2021 | 10:27:44 | Power Unit #0x01 | Power off/down | Deasserted
  1d | 09/20/2021 | 10:28:30 | System Event #0x08 |  | Asserted
  1e | 09/20/2021 | 10:28:31 | System Event #0x83 | OEM System boot event | Asserted
  1f | 09/20/2021 | 10:29:16 | OS Boot | Installation started | Asserted
  20 | 09/20/2021 | 10:36:49 | OS Boot | Installation completed | Asserted
  21 | 09/20/2021 | 10:36:58 | Power Unit #0x01 | Power off/down | Asserted
  22 | 09/20/2021 | 10:37:03 | Power Unit #0x01 | Power off/down | Deasserted
  23 | 09/20/2021 | 10:37:57 | System Event #0x08 |  | Asserted
  24 | 09/20/2021 | 10:37:59 | System Event #0x83 | OEM System boot event | Asserted
  25 | 09/20/2021 | 10:47:00 | System Event #0x08 |  | Asserted
  26 | 09/20/2021 | 10:47:01 | System Event #0x83 | OEM System boot event | Asserted
  27 | 09/20/2021 | 10:48:25 | Button #0x09 | Power Button pressed | Asserted
  28 | 09/20/2021 | 10:48:30 | Power Unit #0x01 | Power off/down | Asserted
  29 | 09/20/2021 | 10:50:13 | Unknown #0xda |  | Asserted
  2a | 09/20/2021 | 10:50:13 | Fan #0x0c | Fully Redundant | Asserted
  2b | 09/20/2021 | 10:50:13 | Power Supply #0x50 | Presence detected | Asserted
  2c | 09/20/2021 | 10:50:13 | Power Supply #0x51 | Presence detected | Asserted
  2d | 09/20/2021 | 10:50:14 | Module / Board #0x0e | Device Present | Asserted
  2e | 09/20/2021 | 10:50:14 | Processor #0x70 | Presence detected | Asserted
  2f | 09/20/2021 | 10:50:14 | Processor #0x71 | Presence detected | Asserted
  30 | 09/20/2021 | 10:50:44 | Drive Slot / Bay #0xf0 | Drive Present | Asserted
  31 | 09/20/2021 | 10:50:51 | System Event #0x08 |  | Asserted
  32 | 09/20/2021 | 10:50:52 | System Event #0x83 | OEM System boot event | Asserted
  33 | 09/20/2021 | 10:52:26 | Power Unit #0x02 | Fully Redundant | Asserted
  34 | 09/20/2021 | 11:24:50 | Button #0x09 | Power Button pressed | Asserted
  35 | 09/20/2021 | 11:24:55 | Power Unit #0x01 | Power off/down | Asserted
  36 | 09/20/2021 | 11:27:04 | Unknown #0xda |  | Asserted
  37 | 09/20/2021 | 11:27:04 | Fan #0x0c | Fully Redundant | Asserted
  38 | 09/20/2021 | 11:27:04 | Power Supply #0x50 | Presence detected | Asserted
  39 | 09/20/2021 | 11:27:04 | Power Supply #0x51 | Presence detected | Asserted
  3a | 09/20/2021 | 11:27:05 | Module / Board #0x0e | Device Present | Asserted
  3b | 09/20/2021 | 11:27:05 | Processor #0x70 | Presence detected | Asserted
  3c | 09/20/2021 | 11:27:05 | Processor #0x71 | Presence detected | Asserted
  3d | 09/20/2021 | 11:27:36 | Drive Slot / Bay #0xf0 | Drive Present | Asserted
  3e | 09/20/2021 | 11:27:45 | System Event #0x08 |  | Asserted
  3f | 09/20/2021 | 11:27:46 | System Event #0x83 | OEM System boot event | Asserted
  40 | 09/20/2021 | 11:29:56 | Power Unit #0x01 | AC lost | Asserted
  41 | 09/20/2021 | 11:29:56 | Power Unit #0x01 | AC lost | Deasserted
  42 | 09/20/2021 | 11:29:59 | Power Unit #0x02 | Fully Redundant | Asserted
  43 | 09/20/2021 | 11:30:35 | System Event #0x83 | OEM System boot event | Asserted
  44 | 09/20/2021 | 11:33:24 | System Event #0x83 | OEM System boot event | Asserted
  45 | 09/20/2021 | 11:36:48 | System Event #0x83 | OEM System boot event | Asserted
  46 | 09/20/2021 | 11:39:49 | System Event #0x83 | OEM System boot event | Asserted
  47 | 09/20/2021 | 11:42:17 | Button #0x09 | Power Button pressed | Asserted
  48 | 09/20/2021 | 11:42:22 | Power Unit #0x01 | Power off/down | Asserted
  49 | 01/13/2022 | 07:37:50 | Unknown #0xda |  | Asserted
  4a | 01/13/2022 | 07:37:50 | Fan #0x0c | Fully Redundant | Asserted
  4b | 01/13/2022 | 07:37:50 | Power Supply #0x50 | Presence detected | Asserted
  4c | 01/13/2022 | 07:37:50 | Power Supply #0x51 | Presence detected | Asserted
  4d | 01/13/2022 | 07:37:50 | Power Supply #0x51 | Power Supply AC lost | Asserted
