-----------Freespace (df -lh)---------------------------
Filesystem                   Size  Used Avail Use% Mounted on
/dev/mapper/vg_main-lv_root   33G  5.4G   26G  18% /
devtmpfs                      94G     0   94G   0% /dev
tmpfs                         94G   52K   94G   1% /dev/shm
tmpfs                         94G     0   94G   0% /sys/fs/cgroup
tmpfs                         94G 1019M   93G   2% /run
/dev/sda1                    488M  314M  139M  70% /boot
/dev/mapper/vg_main-lv_opt    33G  3.1G   28G  10% /opt
/dev/mapper/vg_main-lv_var   110G  1.7G  102G   2% /var

-----------process running (top -n -1 -b)---------------------------
top - 11:37:46 up 17 days,  1:31,  0 users,  load average: 55.55, 48.30, 48.77
Tasks: 923 total,   2 running, 921 sleeping,   0 stopped,   0 zombie
%Cpu(s): 54.2 us,  4.9 sy,  0.1 ni, 40.4 id,  0.0 wa,  0.0 hi,  0.4 si,  0.0 st
KiB Mem : 19651568+total, 15327406+free, 40134556 used,  3107052 buff/cache
KiB Swap:        0 total,        0 free,        0 used. 15460832+avail Mem 

   PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
 13602 ericsson  20   0 9247144   2.0g  94892 S 477.8  1.1  89149:26 liveTrans+
 12289 ericsson  20   0 9944220   2.0g  95644 S 400.0  1.1  89038:57 liveTrans+
 12719 ericsson  20   0 9878688   1.9g  95584 S 394.4  1.0  88987:03 liveTrans+
 11918 ericsson  20   0 9775.1m   2.1g  95588 S 388.9  1.1  89423:42 liveTrans+
 12486 ericsson  20   0 9878684   1.9g  95652 S 388.9  1.0  90505:05 liveTrans+
 13239 ericsson  20   0 9878688   1.9g  95628 S 388.9  1.0  87942:12 liveTrans+
 12121 ericsson  20   0 8603652   1.8g  95708 S 366.7  1.0  89857:37 liveTrans+
 11727 ericsson  20   0 9878652   1.9g  95580 R 361.1  1.0  85703:17 liveTrans+
 13429 ericsson  20   0 9050536   1.8g  94844 S 350.0  1.0  83107:02 liveTrans+
 13788 ericsson  20   0 9878684   1.9g  95652 S 338.9  1.0  82067:38 liveTrans+
 12896 ericsson  20   0 9116072   1.9g  94844 S 333.3  1.0  88776:14 liveTrans+
 13060 ericsson  20   0 8649560   1.5g  94652 S 322.2  0.8  87441:40 liveTrans+
138694 ericsson  20   0 8939008   1.3g  95700 S 311.1  0.7   9118:20 liveTrans+
 11202 ericsson  20   0 8785668   1.5g  95640 S 294.4  0.8  79088:20 liveTrans+
 11363 ericsson  20   0 8481152   1.2g  95408 S 255.6  0.6  73252:41 liveTrans+
  2697 ericsson  20   0  279588  15396   9592 S  16.7  0.0   2948:11 automatio+
216691 apache    26   6   59096   2860   1460 R  16.7  0.0   0:00.05 top
  2657 ericsson  20   0  279588  15392   9592 S  11.1  0.0   2947:01 automatio+
  1754 root      20   0  270864   9592   1912 S   5.6  0.0   1081:06 rsyslogd
  3081 ericsson  20   0  171224  12672   1936 S   5.6  0.0 560:05.19 redis-ser+
  3169 ericsson  20   0  174296  12940   1948 S   5.6  0.0 104:28.07 redis-ser+
  5499 ericsson  20   0 1094060  81016   5576 S   5.6  0.0 159:46.86 uwsgi
  5514 ericsson  20   0 1094284  81712   5580 S   5.6  0.0 278:03.55 uwsgi
  5536 ericsson  20   0 1101604  89080   5696 S   5.6  0.0 276:59.82 uwsgi
  6556 ericsson  20   0  857128  95020   3492 S   5.6  0.0  41:06.36 celery
     1 root      20   0  194056   7192   4208 S   0.0  0.0   2:50.37 systemd
     2 root      20   0       0      0      0 S   0.0  0.0   0:00.55 kthreadd
     4 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/0+
     5 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u+
     6 root      20   0       0      0      0 S   0.0  0.0   0:35.96 ksoftirqd+
     7 root      rt   0       0      0      0 S   0.0  0.0   0:10.58 migration+
     8 root      20   0       0      0      0 S   0.0  0.0   0:00.00 rcu_bh
     9 root      20   0       0      0      0 S   0.0  0.0  90:36.59 rcu_sched
    10 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 lru-add-d+
    11 root      rt   0       0      0      0 S   0.0  0.0   0:06.71 watchdog/0
    12 root      rt   0       0      0      0 S   0.0  0.0   0:06.95 watchdog/1
    13 root      rt   0       0      0      0 S   0.0  0.0   0:09.84 migration+
    14 root      20   0       0      0      0 S   0.0  0.0   5:56.96 ksoftirqd+
    16 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/1+
    18 root      rt   0       0      0      0 S   0.0  0.0   0:04.59 watchdog/2
    19 root      rt   0       0      0      0 S   0.0  0.0   0:10.11 migration+
    20 root      20   0       0      0      0 S   0.0  0.0   3:03.60 ksoftirqd+
    22 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/2+
    23 root      rt   0       0      0      0 S   0.0  0.0   0:04.22 watchdog/3
    24 root      rt   0       0      0      0 S   0.0  0.0   0:09.31 migration+
    25 root      20   0       0      0      0 S   0.0  0.0   2:44.98 ksoftirqd+
    27 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/3+
    28 root      rt   0       0      0      0 S   0.0  0.0   0:03.99 watchdog/4
    29 root      rt   0       0      0      0 S   0.0  0.0   0:10.58 migration+
    30 root      20   0       0      0      0 S   0.0  0.0   2:40.06 ksoftirqd+
    32 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/4+
    33 root      rt   0       0      0      0 S   0.0  0.0   0:03.36 watchdog/5
    34 root      rt   0       0      0      0 S   0.0  0.0   0:09.74 migration+
    35 root      20   0       0      0      0 S   0.0  0.0   0:27.37 ksoftirqd+
    37 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/5+
    38 root      rt   0       0      0      0 S   0.0  0.0   0:04.02 watchdog/6
    39 root      rt   0       0      0      0 S   0.0  0.0   0:10.48 migration+
    40 root      20   0       0      0      0 S   0.0  0.0   4:54.81 ksoftirqd+
    42 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/6+
    43 root      rt   0       0      0      0 S   0.0  0.0   0:03.45 watchdog/7
    44 root      rt   0       0      0      0 S   0.0  0.0   0:10.25 migration+
    45 root      20   0       0      0      0 S   0.0  0.0   0:16.97 ksoftirqd+
    47 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/7+
    48 root      rt   0       0      0      0 S   0.0  0.0   0:04.34 watchdog/8
    49 root      rt   0       0      0      0 S   0.0  0.0   0:10.54 migration+
    50 root      20   0       0      0      0 S   0.0  0.0   3:01.98 ksoftirqd+
    52 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/8+
    53 root      rt   0       0      0      0 S   0.0  0.0   0:04.56 watchdog/9
    54 root      rt   0       0      0      0 S   0.0  0.0   0:09.66 migration+
    55 root      20   0       0      0      0 S   0.0  0.0   6:37.19 ksoftirqd+
    57 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/9+
    58 root      rt   0       0      0      0 S   0.0  0.0   0:04.38 watchdog/+
    59 root      rt   0       0      0      0 S   0.0  0.0   0:09.77 migration+
    60 root      20   0       0      0      0 S   0.0  0.0   0:12.28 ksoftirqd+
    62 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/1+
    63 root      rt   0       0      0      0 S   0.0  0.0   0:04.64 watchdog/+
    64 root      rt   0       0      0      0 S   0.0  0.0   0:09.58 migration+
    65 root      20   0       0      0      0 S   0.0  0.0   1:55.17 ksoftirqd+
    67 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/1+
    68 root      rt   0       0      0      0 S   0.0  0.0   0:04.12 watchdog/+
    69 root      rt   0       0      0      0 S   0.0  0.0   0:09.75 migration+
    70 root      20   0       0      0      0 S   0.0  0.0   0:16.53 ksoftirqd+
    72 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/1+
    73 root      rt   0       0      0      0 S   0.0  0.0   0:04.25 watchdog/+
    74 root      rt   0       0      0      0 S   0.0  0.0   0:09.93 migration+
    75 root      20   0       0      0      0 S   0.0  0.0   9:07.20 ksoftirqd+
    77 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/1+
    78 root      rt   0       0      0      0 S   0.0  0.0   0:03.61 watchdog/+
    79 root      rt   0       0      0      0 S   0.0  0.0   0:09.84 migration+
    80 root      20   0       0      0      0 S   0.0  0.0   0:10.06 ksoftirqd+
    82 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/1+
    83 root      rt   0       0      0      0 S   0.0  0.0   0:03.92 watchdog/+
    84 root      rt   0       0      0      0 S   0.0  0.0   0:12.23 migration+
    85 root      20   0       0      0      0 S   0.0  0.0   1:58.77 ksoftirqd+
    87 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/1+
    88 root      rt   0       0      0      0 S   0.0  0.0   0:04.05 watchdog/+
    89 root      rt   0       0      0      0 S   0.0  0.0   0:10.76 migration+
    90 root      20   0       0      0      0 S   0.0  0.0   5:38.09 ksoftirqd+
    92 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/1+
    93 root      rt   0       0      0      0 S   0.0  0.0   0:03.83 watchdog/+
    94 root      rt   0       0      0      0 S   0.0  0.0   0:14.08 migration+
    95 root      20   0       0      0      0 S   0.0  0.0   1:59.43 ksoftirqd+
    97 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/1+
    98 root      rt   0       0      0      0 S   0.0  0.0   0:04.15 watchdog/+
    99 root      rt   0       0      0      0 S   0.0  0.0   0:11.40 migration+
   100 root      20   0       0      0      0 S   0.0  0.0   0:07.54 ksoftirqd+
   102 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/1+
   103 root      rt   0       0      0      0 S   0.0  0.0   0:04.07 watchdog/+
   104 root      rt   0       0      0      0 S   0.0  0.0   0:10.94 migration+
   105 root      20   0       0      0      0 S   0.0  0.0   0:06.74 ksoftirqd+
   107 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/1+
   108 root      rt   0       0      0      0 S   0.0  0.0   0:04.62 watchdog/+
   109 root      rt   0       0      0      0 S   0.0  0.0   0:11.88 migration+
   110 root      20   0       0      0      0 S   0.0  0.0   2:49.95 ksoftirqd+
   112 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/2+
   113 root      rt   0       0      0      0 S   0.0  0.0   0:04.31 watchdog/+
   114 root      rt   0       0      0      0 S   0.0  0.0   0:10.87 migration+
   115 root      20   0       0      0      0 S   0.0  0.0   0:05.39 ksoftirqd+
   117 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/2+
   118 root      rt   0       0      0      0 S   0.0  0.0   0:04.13 watchdog/+
   119 root      rt   0       0      0      0 S   0.0  0.0   0:10.68 migration+
   120 root      20   0       0      0      0 S   0.0  0.0   0:06.29 ksoftirqd+
