-----------Current process (ps aux)---------------------------
USER        PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root          1  0.0  0.0 194056  7192 ?        Ss   Feb27   2:50 /usr/lib/systemd/systemd --switched-root --system --deserialize 22
root          2  0.0  0.0      0     0 ?        S    Feb27   0:00 [kthreadd]
root          4  0.0  0.0      0     0 ?        S<   Feb27   0:00 [kworker/0:0H]
root          5  0.0  0.0      0     0 ?        S    Feb27   0:00 [kworker/u640:0]
root          6  0.0  0.0      0     0 ?        S    Feb27   0:35 [ksoftirqd/0]
root          7  0.0  0.0      0     0 ?        S    Feb27   0:10 [migration/0]
root          8  0.0  0.0      0     0 ?        S    Feb27   0:00 [rcu_bh]
root          9  0.3  0.0      0     0 ?        S    Feb27  90:36 [rcu_sched]
root         10  0.0  0.0      0     0 ?        S<   Feb27   0:00 [lru-add-drain]
root         11  0.0  0.0      0     0 ?        S    Feb27   0:06 [watchdog/0]
root         12  0.0  0.0      0     0 ?        S    Feb27   0:06 [watchdog/1]
root         13  0.0  0.0      0     0 ?        S    Feb27   0:09 [migration/1]
root         14  0.0  0.0      0     0 ?        S    Feb27   5:56 [ksoftirqd/1]
root         16  0.0  0.0      0     0 ?        S<   Feb27   0:00 [kworker/1:0H]
root         18  0.0  0.0      0     0 ?        S    Feb27   0:04 [watchdog/2]
root         19  0.0  0.0      0     0 ?        S    Feb27   0:10 [migration/2]
root         20  0.0  0.0      0     0 ?        S    Feb27   3:03 [ksoftirqd/2]
root         22  0.0  0.0      0     0 ?        S<   Feb27   0:00 [kworker/2:0H]
root         23  0.0  0.0      0     0 ?        S    Feb27   0:04 [watchdog/3]
root         24  0.0  0.0      0     0 ?        S    Feb27   0:09 [migration/3]
root         25  0.0  0.0      0     0 ?        S    Feb27   2:44 [ksoftirqd/3]
root         27  0.0  0.0      0     0 ?        S<   Feb27   0:00 [kworker/3:0H]
root         28  0.0  0.0      0     0 ?        S    Feb27   0:03 [watchdog/4]
root         29  0.0  0.0      0     0 ?        S    Feb27   0:10 [migration/4]
root         30  0.0  0.0      0     0 ?        S    Feb27   2:40 [ksoftirqd/4]
root         32  0.0  0.0      0     0 ?        S<   Feb27   0:00 [kworker/4:0H]
root         33  0.0  0.0      0     0 ?        S    Feb27   0:03 [watchdog/5]
root         34  0.0  0.0      0     0 ?        S    Feb27   0:09 [migration/5]
root         35  0.0  0.0      0     0 ?        S    Feb27   0:27 [ksoftirqd/5]
root         37  0.0  0.0      0     0 ?        S<   Feb27   0:00 [kworker/5:0H]
root         38  0.0  0.0      0     0 ?        S    Feb27   0:04 [watchdog/6]
root         39  0.0  0.0      0     0 ?        S    Feb27   0:10 [migration/6]
root         40  0.0  0.0      0     0 ?        S    Feb27   4:54 [ksoftirqd/6]
root         42  0.0  0.0      0     0 ?        S<   Feb27   0:00 [kworker/6:0H]
root         43  0.0  0.0      0     0 ?        S    Feb27   0:03 [watchdog/7]
root         44  0.0  0.0      0     0 ?        S    Feb27   0:10 [migration/7]
root         45  0.0  0.0      0     0 ?        S    Feb27   0:16 [ksoftirqd/7]
root         47  0.0  0.0      0     0 ?        S<   Feb27   0:00 [kworker/7:0H]
root         48  0.0  0.0      0     0 ?        S    Feb27   0:04 [watchdog/8]
root         49  0.0  0.0      0     0 ?        S    Feb27   0:10 [migration/8]
root         50  0.0  0.0      0     0 ?        S    Feb27   3:01 [ksoftirqd/8]
root         52  0.0  0.0      0     0 ?        S<   Feb27   0:00 [kworker/8:0H]
root         53  0.0  0.0      0     0 ?        S    Feb27   0:04 [watchdog/9]
root         54  0.0  0.0      0     0 ?        S    Feb27   0:09 [migration/9]
root         55  0.0  0.0      0     0 ?        S    Feb27   6:37 [ksoftirqd/9]
root         57  0.0  0.0      0     0 ?        S<   Feb27   0:00 [kworker/9:0H]
root         58  0.0  0.0      0     0 ?        S    Feb27   0:04 [watchdog/10]
root         59  0.0  0.0      0     0 ?        S    Feb27   0:09 [migration/10]
root         60  0.0  0.0      0     0 ?        S    Feb27   0:12 [ksoftirqd/10]
root         62  0.0  0.0      0     0 ?        S<   Feb27   0:00 [kworker/10:0H]
root         63  0.0  0.0      0     0 ?        S    Feb27   0:04 [watchdog/11]
root         64  0.0  0.0      0     0 ?        S    Feb27   0:09 [migration/11]
