XY_REDISHOST instead...
2022-05-13 11:41:07,027 | ini_setup | WARNING  | Invalid name for ENV VARS : ALARM-PROXY_PROXY_REDISKEEPCNT
2022-05-13 11:41:07,027 | ini_setup | WARNING  | we will search for ALARM_PROXY_PROXY_REDISKEEPCNT instead...
2022-05-13 11:41:07,027 | ini_setup | WARNING  | Invalid name for ENV VARS : ALARM-PROXY_PROXY_REDISKEEPIDLE
2022-05-13 11:41:07,027 | ini_setup | WARNING  | we will search for ALARM_PROXY_PROXY_REDISKEEPIDLE instead...
2022-05-13 11:41:07,027 | ini_setup | WARNING  | Invalid name for ENV VARS : ALARM-PROXY_PROXY_REDISKEEPINTVL
2022-05-13 11:41:07,027 | ini_setup | WARNING  | we will search for ALARM_PROXY_PROXY_REDISKEEPINTVL instead...
2022-05-13 11:41:07,027 | ini_setup | WARNING  | Invalid name for ENV VARS : ALARM-PROXY_PROXY_REDISPORT
2022-05-13 11:41:07,027 | ini_setup | WARNING  | we will search for ALARM_PROXY_PROXY_REDISPORT instead...
2022-05-13 11:41:07,027 | ini_setup | WARNING  | Invalid name for ENV VARS : ALARM-PROXY_PROXY_REDISRECONNECTIONDELAY
2022-05-13 11:41:07,027 | ini_setup | WARNING  | we will search for ALARM_PROXY_PROXY_REDISRECONNECTIONDELAY instead...
2022-05-13 11:41:07,027 | ini_setup | WARNING  | Invalid name for ENV VARS : ALARM-PROXY_PROXY_REDISSOCKET
2022-05-13 11:41:07,027 | ini_setup | WARNING  | we will search for ALARM_PROXY_PROXY_REDISSOCKET instead...
2022-05-13 11:41:07,027 | ini_setup | WARNING  | Invalid name for ENV VARS : ALARM-PROXY_PROXY_REDISTIMEOUT
2022-05-13 11:41:07,027 | ini_setup | WARNING  | we will search for ALARM_PROXY_PROXY_REDISTIMEOUT instead...
2022-05-13 11:41:07,027 | ini_setup | WARNING  | Invalid name for ENV VARS : ALARM-PROXY_PROXY_REDISUSERTIMEOUT
2022-05-13 11:41:07,027 | ini_setup | WARNING  | we will search for ALARM_PROXY_PROXY_REDISUSERTIMEOUT instead...
2022-05-13 11:41:07,027 | ini_setup | WARNING  | Invalid name for ENV VARS : ALARM-PROXY_PROXY_RESYNC_ENABLED
2022-05-13 11:41:07,027 | ini_setup | WARNING  | we will search for ALARM_PROXY_PROXY_RESYNC_ENABLED instead...
2022-05-13 11:41:07,028 | ini_setup | WARNING  | Invalid name for ENV VARS : ALARM-PROXY_PROXY_RESYNC_INTERVAL
2022-05-13 11:41:07,028 | ini_setup | WARNING  | we will search for ALARM_PROXY_PROXY_RESYNC_INTERVAL instead...
2022-05-13 11:41:07,028 | ini_setup | INFO     | configure /opt/ericsson/alarm-proxy/etc/alarm-proxy.ini from /opt/ericsson/alarm-proxy/etc/alarm-proxy.ini
2022-05-13 11:41:07,028 | ini_setup | INFO     | [general]ready_file_path=/var/run/ericsson/alarm-proxy/ready
2022-05-13 11:41:07,028 | ini_setup | INFO     | [general]server_id=standalone
2022-05-13 11:41:07,028 | ini_setup | INFO     | [messaging]server_url=amqp://admin:admin@localhost:5672/?heartbeat=30
2022-05-13 11:41:07,028 | ini_setup | INFO     | [proxy]maxRedisMissedMessage=1000
2022-05-13 11:41:07,028 | ini_setup | INFO     | [proxy]monitoringDelay=10
2022-05-13 11:41:07,028 | ini_setup | INFO     | [proxy]redisHost=127.0.0.1
2022-05-13 11:41:07,028 | ini_setup | INFO     | [proxy]redisKeepCnt=3
2022-05-13 11:41:07,028 | ini_setup | INFO     | [proxy]redisKeepIdle=10
2022-05-13 11:41:07,028 | ini_setup | INFO     | [proxy]redisKeepIntvl=10
2022-05-13 11:41:07,028 | ini_setup | INFO     | [proxy]redisPort=6380
2022-05-13 11:41:07,028 | ini_setup | INFO     | [proxy]redisReconnectionDelay=1
2022-05-13 11:41:07,028 | ini_setup | INFO     | [proxy]redisSocket=/var/opt/ericsson/alarm-proxy/ericsson-alarm-proxy.sock
2022-05-13 11:41:07,028 | ini_setup | INFO     | [proxy]redisTimeout=-1
2022-05-13 11:41:07,029 | ini_setup | INFO     | [proxy]redisUserTimeout=38
2022-05-13 11:41:07,029 | ini_setup | INFO     | [proxy]resync_enabled=True
2022-05-13 11:41:07,029 | ini_setup | INFO     | [proxy]resync_interval=30
2022-05-13 11:41:07,029 | ini_setup | INFO     | return code 0
2022-05-13 11:41:07,029 | ini_setup | INFO     | ---
