2022-05-12 15:30:47,830 | ini_setup | INFO     | configure /opt/ericsson/alarm/etc/alarm-api.ini from /opt/ericsson/alarm/etc/alarm-api.ini
2022-05-12 15:30:47,830 | ini_setup | INFO     | [api]request_timeout=5
2022-05-12 15:30:47,830 | ini_setup | INFO     | [api]service_url=http://localhost:8002/api/services
2022-05-12 15:30:47,830 | ini_setup | INFO     | [collector]resyncDeferral=5
2022-05-12 15:30:47,830 | ini_setup | INFO     | [daemon]autoExpiryAlarmThreshold=70
2022-05-12 15:30:47,830 | ini_setup | INFO     | [daemon]maxAlarmAge=168
2022-05-12 15:30:47,830 | ini_setup | INFO     | [daemon]polling_timeout=10
2022-05-12 15:30:47,830 | ini_setup | INFO     | [forward]retries=36
2022-05-12 15:30:47,830 | ini_setup | INFO     | [forward]retry_interval=10
2022-05-12 15:30:47,830 | ini_setup | INFO     | [messaging]server_url=amqp://admin:admin@localhost:5672/?heartbeat=30
2022-05-12 15:30:47,831 | ini_setup | INFO     | [server]ip=127.0.0.1
2022-05-12 15:30:47,831 | ini_setup | INFO     | [server]port=8099
2022-05-12 15:30:47,831 | ini_setup | INFO     | [storage]alias=alarm_db_alias
2022-05-12 15:30:47,831 | ini_setup | INFO     | [storage]host=mongodb://127.0.0.1:27017/alarm
2022-05-12 15:30:47,831 | ini_setup | INFO     | [storage]name=alarm
2022-05-12 15:30:47,831 | ini_setup | INFO     | [storage]port=27017
2022-05-12 15:30:47,831 | ini_setup | INFO     | [storage_overrider]alias=envivio_cluster_db_alias
2022-05-12 15:30:47,831 | ini_setup | INFO     | [storage_overrider]host=mongodb://127.0.0.1:27017/envivioCluster
2022-05-12 15:30:47,831 | ini_setup | INFO     | [storage_overrider]name=envivioCluster
2022-05-12 15:30:47,831 | ini_setup | INFO     | [storage_overrider]port=27017
2022-05-12 15:30:47,831 | ini_setup | INFO     | return code 0
2022-05-12 15:30:47,831 | ini_setup | INFO     | ---
2022-05-12 16:04:55,414 | ini_setup | INFO     | configure /opt/ericsson/alarm/etc/alarm-api.ini from /opt/ericsson/alarm/etc/alarm-api.ini
2022-05-12 16:04:55,414 | ini_setup | INFO     | [api]request_timeout=5
2022-05-12 16:04:55,414 | ini_setup | INFO     | [api]service_url=http://localhost:8002/api/services
2022-05-12 16:04:55,414 | ini_setup | INFO     | [collector]resyncDeferral=5
2022-05-12 16:04:55,414 | ini_setup | INFO     | [daemon]autoExpiryAlarmThreshold=70
2022-05-12 16:04:55,414 | ini_setup | INFO     | [daemon]maxAlarmAge=168
2022-05-12 16:04:55,414 | ini_setup | INFO     | [daemon]polling_timeout=10
2022-05-12 16:04:55,414 | ini_setup | INFO     | [forward]retries=36
2022-05-12 16:04:55,415 | ini_setup | INFO     | [forward]retry_interval=10
2022-05-12 16:04:55,415 | ini_setup | INFO     | [messaging]server_url=amqp://admin:admin@localhost:5672/?heartbeat=30
2022-05-12 16:04:55,415 | ini_setup | INFO     | [server]ip=127.0.0.1
2022-05-12 16:04:55,415 | ini_setup | INFO     | [server]port=8099
2022-05-12 16:04:55,415 | ini_setup | INFO     | [storage]alias=alarm_db_alias
2022-05-12 16:04:55,415 | ini_setup | INFO     | [storage]host=mongodb://127.0.0.1:27017/alarm
2022-05-12 16:04:55,415 | ini_setup | INFO     | [storage]name=alarm
2022-05-12 16:04:55,415 | ini_setup | INFO     | [storage]port=27017
2022-05-12 16:04:55,415 | ini_setup | INFO     | [storage_overrider]alias=envivio_cluster_db_alias
2022-05-12 16:04:55,415 | ini_setup | INFO     | [storage_overrider]host=mongodb://127.0.0.1:27017/envivioCluster
2022-05-12 16:04:55,415 | ini_setup | INFO     | [storage_overrider]name=envivioCluster
2022-05-12 16:04:55,415 | ini_setup | INFO     | [storage_overrider]port=27017
2022-05-12 16:04:55,415 | ini_setup | INFO     | return code 0
2022-05-12 16:04:55,415 | ini_setup | INFO     | ---
2022-05-13 11:41:16,325 | ini_setup | INFO     | configure /opt/ericsson/alarm/etc/alarm-api.ini from /opt/ericsson/alarm/etc/alarm-api.ini
2022-05-13 11:41:16,325 | ini_setup | INFO     | [api]request_timeout=5
2022-05-13 11:41:16,325 | ini_setup | INFO     | [api]service_url=http://localhost:8002/api/services
2022-05-13 11:41:16,325 | ini_setup | INFO     | [collector]resyncDeferral=5
2022-05-13 11:41:16,325 | ini_setup | INFO     | [daemon]autoExpiryAlarmThreshold=70
2022-05-13 11:41:16,326 | ini_setup | INFO     | [daemon]maxAlarmAge=168
2022-05-13 11:41:16,326 | ini_setup | INFO     | [daemon]polling_timeout=10
2022-05-13 11:41:16,326 | ini_setup | INFO     | [forward]retries=36
2022-05-13 11:41:16,326 | ini_setup | INFO     | [forward]retry_interval=10
2022-05-13 11:41:16,326 | ini_setup | INFO     | [messaging]server_url=amqp://admin:admin@localhost:5672/?heartbeat=30
2022-05-13 11:41:16,326 | ini_setup | INFO     | [server]ip=127.0.0.1
2022-05-13 11:41:16,326 | ini_setup | INFO     | [server]port=8099
2022-05-13 11:41:16,326 | ini_setup | INFO     | [storage]alias=alarm_db_alias
2022-05-13 11:41:16,326 | ini_setup | INFO     | [storage]host=mongodb://127.0.0.1:27017/alarm
2022-05-13 11:41:16,326 | ini_setup | INFO     | [storage]name=alarm
2022-05-13 11:41:16,326 | ini_setup | INFO     | [storage]port=27017
2022-05-13 11:41:16,326 | ini_setup | INFO     | [storage_overrider]alias=envivio_cluster_db_alias
2022-05-13 11:41:16,326 | ini_setup | INFO     | [storage_overrider]host=mongodb://127.0.0.1:27017/envivioCluster
2022-05-13 11:41:16,326 | ini_setup | INFO     | [storage_overrider]name=envivioCluster
2022-05-13 11:41:16,326 | ini_setup | INFO     | [storage_overrider]port=27017
2022-05-13 11:41:16,326 | ini_setup | INFO     | return code 0
2022-05-13 11:41:16,326 | ini_setup | INFO     | ---
2022-07-12 18:57:38,375 | ini_setup | INFO     | configure /opt/ericsson/alarm/etc/alarm-api.ini from /opt/ericsson/alarm/etc/alarm-api.ini
2022-07-12 18:57:38,376 | ini_setup | INFO     | [api]request_timeout=5
2022-07-12 18:57:38,376 | ini_setup | INFO     | [api]service_url=http://localhost:8002/api/services
2022-07-12 18:57:38,376 | ini_setup | INFO     | [collector]resyncDeferral=5
2022-07-12 18:57:38,376 | ini_setup | INFO     | [daemon]autoExpiryAlarmThreshold=70
2022-07-12 18:57:38,376 | ini_setup | INFO     | [daemon]maxAlarmAge=168
2022-07-12 18:57:38,376 | ini_setup | INFO     | [daemon]polling_timeout=10
2022-07-12 18:57:38,376 | ini_setup | INFO     | [forward]retries=36
2022-07-12 18:57:38,376 | ini_setup | INFO     | [forward]retry_interval=10
2022-07-12 18:57:38,376 | ini_setup | INFO     | [messaging]server_url=amqp://admin:admin@localhost:5672/?heartbeat=30
2022-07-12 18:57:38,376 | ini_setup | INFO     | [server]ip=127.0.0.1
2022-07-12 18:57:38,376 | ini_setup | INFO     | [server]port=8099
2022-07-12 18:57:38,376 | ini_setup | INFO     | [storage]alias=alarm_db_alias
2022-07-12 18:57:38,376 | ini_setup | INFO     | [storage]host=mongodb://127.0.0.1:27017/alarm
2022-07-12 18:57:38,376 | ini_setup | INFO     | [storage]name=alarm
2022-07-12 18:57:38,376 | ini_setup | INFO     | [storage]port=27017
2022-07-12 18:57:38,376 | ini_setup | INFO     | [storage_overrider]alias=envivio_cluster_db_alias
2022-07-12 18:57:38,376 | ini_setup | INFO     | [storage_overrider]host=mongodb://127.0.0.1:27017/envivioCluster
2022-07-12 18:57:38,377 | ini_setup | INFO     | [storage_overrider]name=envivioCluster
2022-07-12 18:57:38,377 | ini_setup | INFO     | [storage_overrider]port=27017
2022-07-12 18:57:38,377 | ini_setup | INFO     | return code 0
2022-07-12 18:57:38,377 | ini_setup | INFO     | ---
2022-07-12 19:36:57,489 | ini_setup | INFO     | configure /opt/ericsson/alarm/etc/alarm-api.ini from /opt/ericsson/alarm/etc/alarm-api.ini
2022-07-12 19:36:57,489 | ini_setup | INFO     | [api]request_timeout=5
2022-07-12 19:36:57,490 | ini_setup | INFO     | [api]service_url=http://localhost:8002/api/services
2022-07-12 19:36:57,490 | ini_setup | INFO     | [collector]resyncDeferral=5
2022-07-12 19:36:57,490 | ini_setup | INFO     | [daemon]autoExpiryAlarmThreshold=70
2022-07-12 19:36:57,490 | ini_setup | INFO     | [daemon]maxAlarmAge=168
2022-07-12 19:36:57,490 | ini_setup | INFO     | [daemon]polling_timeout=10
2022-07-12 19:36:57,490 | ini_setup | INFO     | [forward]retries=36
2022-07-12 19:36:57,490 | ini_setup | INFO     | [forward]retry_interval=10
2022-07-12 19:36:57,490 | ini_setup | INFO     | [messaging]server_url=amqp://admin:admin@localhost:5672/?heartbeat=30
2022-07-12 19:36:57,490 | ini_setup | INFO     | [server]ip=127.0.0.1
2022-07-12 19:36:57,490 | ini_setup | INFO     | [server]port=8099
2022-07-12 19:36:57,490 | ini_setup | INFO     | [storage]alias=alarm_db_alias
2022-07-12 19:36:57,490 | ini_setup | INFO     | [storage]host=mongodb://127.0.0.1:27017/alarm
2022-07-12 19:36:57,490 | ini_setup | INFO     | [storage]name=alarm
2022-07-12 19:36:57,490 | ini_setup | INFO     | [storage]port=27017
2022-07-12 19:36:57,490 | ini_setup | INFO     | [storage_overrider]alias=envivio_cluster_db_alias
2022-07-12 19:36:57,490 | ini_setup | INFO     | [storage_overrider]host=mongodb://127.0.0.1:27017/envivioCluster
2022-07-12 19:36:57,490 | ini_setup | INFO     | [storage_overrider]name=envivioCluster
2022-07-12 19:36:57,490 | ini_setup | INFO     | [storage_overrider]port=27017
2022-07-12 19:36:57,490 | ini_setup | INFO     | return code 0
2022-07-12 19:36:57,491 | ini_setup | INFO     | ---
2023-08-08 00:32:15,880 | ini_setup | INFO     | configure /opt/ericsson/alarm/etc/alarm-api.ini from /opt/ericsson/alarm/etc/alarm-api.ini
2023-08-08 00:32:15,881 | ini_setup | INFO     | [api]request_timeout=5
2023-08-08 00:32:15,881 | ini_setup | INFO     | [api]service_url=http://localhost:8002/api/services
2023-08-08 00:32:15,881 | ini_setup | INFO     | [collector]resyncDeferral=5
2023-08-08 00:32:15,881 | ini_setup | INFO     | [daemon]autoExpiryAlarmThreshold=70
2023-08-08 00:32:15,881 | ini_setup | INFO     | [daemon]maxAlarmAge=168
2023-08-08 00:32:15,881 | ini_setup | INFO     | [daemon]polling_timeout=10
2023-08-08 00:32:15,882 | ini_setup | INFO     | [forward]retries=36
2023-08-08 00:32:15,882 | ini_setup | INFO     | [forward]retry_interval=10
2023-08-08 00:32:15,882 | ini_setup | INFO     | [messaging]server_url=amqp://admin:admin@localhost:5672/?heartbeat=30
2023-08-08 00:32:15,882 | ini_setup | INFO     | [server]ip=127.0.0.1
2023-08-08 00:32:15,882 | ini_setup | INFO     | [server]port=8099
2023-08-08 00:32:15,882 | ini_setup | INFO     | [storage]alias=alarm_db_alias
2023-08-08 00:32:15,882 | ini_setup | INFO     | [storage]host=mongodb://127.0.0.1:27017/alarm
2023-08-08 00:32:15,882 | ini_setup | INFO     | [storage]name=alarm
2023-08-08 00:32:15,882 | ini_setup | INFO     | [storage]port=27017
2023-08-08 00:32:15,882 | ini_setup | INFO     | [storage_overrider]alias=envivio_cluster_db_alias
2023-08-08 00:32:15,882 | ini_setup | INFO     | [storage_overrider]host=mongodb://127.0.0.1:27017/envivioCluster
2023-08-08 00:32:15,882 | ini_setup | INFO     | [storage_overrider]name=envivioCluster
2023-08-08 00:32:15,882 | ini_setup | INFO     | [storage_overrider]port=27017
2023-08-08 00:32:15,882 | ini_setup | INFO     | return code 0
2023-08-08 00:32:15,882 | ini_setup | INFO     | ---
