 VARS : CONTROLLER-CONFIG_STORAGE_PASSWORD
2022-07-12 19:36:57,720 | ini_setup | WARNING  | we will search for CONTROLLER_CONFIG_STORAGE_PASSWORD instead...
2022-07-12 19:36:57,720 | ini_setup | WARNING  | Invalid name for ENV VARS : CONTROLLER-CONFIG_STORAGE_URL
2022-07-12 19:36:57,720 | ini_setup | WARNING  | we will search for CONTROLLER_CONFIG_STORAGE_URL instead...
2022-07-12 19:36:57,720 | ini_setup | WARNING  | Invalid name for ENV VARS : CONTROLLER-CONFIG_STORAGE_USERNAME
2022-07-12 19:36:57,720 | ini_setup | WARNING  | we will search for CONTROLLER_CONFIG_STORAGE_USERNAME instead...
2022-07-12 19:36:57,720 | ini_setup | INFO     | configure /opt/ericsson/controller-config/etc/controller-config.ini from /opt/ericsson/controller-config/etc/controller-config.ini
2022-07-12 19:36:57,720 | ini_setup | INFO     | [server]host=127.0.0.1
2022-07-12 19:36:57,720 | ini_setup | INFO     | [server]port=8009
2022-07-12 19:36:57,720 | ini_setup | INFO     | [storage]url=mongodb://127.0.0.1:27017/envivioCluster
2022-07-12 19:36:57,720 | ini_setup | INFO     | return code 0
2022-07-12 19:36:57,721 | ini_setup | INFO     | ---
2023-08-08 00:32:16,254 | ini_setup | WARNING  | Invalid name for ENV VARS : CONTROLLER-CONFIG_SERVER_HOST
2023-08-08 00:32:16,255 | ini_setup | WARNING  | we will search for CONTROLLER_CONFIG_SERVER_HOST instead...
2023-08-08 00:32:16,255 | ini_setup | WARNING  | Invalid name for ENV VARS : CONTROLLER-CONFIG_SERVER_PORT
2023-08-08 00:32:16,255 | ini_setup | WARNING  | we will search for CONTROLLER_CONFIG_SERVER_PORT instead...
2023-08-08 00:32:16,255 | ini_setup | WARNING  | Invalid name for ENV VARS : CONTROLLER-CONFIG_STORAGE_PASSWORD
2023-08-08 00:32:16,255 | ini_setup | WARNING  | we will search for CONTROLLER_CONFIG_STORAGE_PASSWORD instead...
2023-08-08 00:32:16,255 | ini_setup | WARNING  | Invalid name for ENV VARS : CONTROLLER-CONFIG_STORAGE_URL
2023-08-08 00:32:16,255 | ini_setup | WARNING  | we will search for CONTROLLER_CONFIG_STORAGE_URL instead...
2023-08-08 00:32:16,256 | ini_setup | WARNING  | Invalid name for ENV VARS : CONTROLLER-CONFIG_STORAGE_USERNAME
2023-08-08 00:32:16,256 | ini_setup | WARNING  | we will search for CONTROLLER_CONFIG_STORAGE_USERNAME instead...
2023-08-08 00:32:16,256 | ini_setup | INFO     | configure /opt/ericsson/controller-config/etc/controller-config.ini from /opt/ericsson/controller-config/etc/controller-config.ini
2023-08-08 00:32:16,257 | ini_setup | INFO     | [server]host=127.0.0.1
2023-08-08 00:32:16,257 | ini_setup | INFO     | [server]port=8009
2023-08-08 00:32:16,257 | ini_setup | INFO     | [storage]url=mongodb://127.0.0.1:27017/envivioCluster
2023-08-08 00:32:16,257 | ini_setup | INFO     | return code 0
2023-08-08 00:32:16,257 | ini_setup | INFO     | ---
2022-05-12 15:30:48,017 | ini_setup | WARNING  | Invalid name for ENV VARS : CONTROLLER-CONFIG_SERVER_HOST
2022-05-12 15:30:48,017 | ini_setup | WARNING  | we will search for CONTROLLER_CONFIG_SERVER_HOST instead...
2022-05-12 15:30:48,017 | ini_setup | WARNING  | Invalid name for ENV VARS : CONTROLLER-CONFIG_SERVER_PORT
2022-05-12 15:30:48,017 | ini_setup | WARNING  | we will search for CONTROLLER_CONFIG_SERVER_PORT instead...
2022-05-12 15:30:48,017 | ini_setup | WARNING  | Invalid name for ENV VARS : CONTROLLER-CONFIG_STORAGE_URL
2022-05-12 15:30:48,017 | ini_setup | WARNING  | we will search for CONTROLLER_CONFIG_STORAGE_URL instead...
2022-05-12 15:30:48,017 | ini_setup | WARNING  | Invalid name for ENV VARS : CONTROLLER-CONFIG_STORAGE_USERNAME
2022-05-12 15:30:48,017 | ini_setup | WARNING  | we will search for CONTROLLER_CONFIG_STORAGE_USERNAME instead...
2022-05-12 15:30:48,017 | ini_setup | WARNING  | Invalid name for ENV VARS : CONTROLLER-CONFIG_STORAGE_PASSWORD
2022-05-12 15:30:48,018 | ini_setup | WARNING  | we will search for CONTROLLER_CONFIG_STORAGE_PASSWORD instead...
2022-05-12 15:30:48,018 | ini_setup | INFO     | configure /opt/ericsson/controller-config/etc/controller-config.ini from /opt/ericsson/controller-config/etc/controller-config.ini
2022-05-12 15:30:48,018 | ini_setup | INFO     | [server]host=127.0.0.1
2022-05-12 15:30:48,018 | ini_setup | INFO     | [server]port=8009
2022-05-12 15:30:48,018 | ini_setup | INFO     | [storage]url=mongodb://127.0.0.1:27017/envivioCluster
2022-05-12 15:30:48,018 | ini_setup | INFO     | return code 0
2022-05-12 15:30:48,018 | ini_setup | INFO     | ---
2022-05-12 16:04:55,633 | ini_setup | WARNING  | Invalid name for ENV VARS : CONTROLLER-CONFIG_SERVER_HOST
2022-05-12 16:04:55,633 | ini_setup | WARNING  | we will search for CONTROLLER_CONFIG_SERVER_HOST instead...
2022-05-12 16:04:55,634 | ini_setup | WARNING  | Invalid name for ENV VARS : CONTROLLER-CONFIG_SERVER_PORT
2022-05-12 16:04:55,634 | ini_setup | WARNING  | we will search for CONTROLLER_CONFIG_SERVER_PORT instead...
2022-05-12 16:04:55,634 | ini_setup | WARNING  | Invalid name for ENV VARS : CONTROLLER-CONFIG_STORAGE_PASSWORD
2022-05-12 16:04:55,634 | ini_setup | WARNING  | we will search for CONTROLLER_CONFIG_STORAGE_PASSWORD instead...
2022-05-12 16:04:55,634 | ini_setup | WARNING  | Invalid name for ENV VARS : CONTROLLER-CONFIG_STORAGE_URL
2022-05-12 16:04:55,634 | ini_setup | WARNING  | we will search for CONTROLLER_CONFIG_STORAGE_URL instead...
2022-05-12 16:04:55,634 | ini_setup | WARNING  | Invalid name for ENV VARS : CONTROLLER-CONFIG_STORAGE_USERNAME
2022-05-12 16:04:55,634 | ini_setup | WARNING  | we will search for CONTROLLER_CONFIG_STORAGE_USERNAME instead...
2022-05-12 16:04:55,634 | ini_setup | INFO     | configure /opt/ericsson/controller-config/etc/controller-config.ini from /opt/ericsson/controller-config/etc/controller-config.ini
2022-05-12 16:04:55,634 | ini_setup | INFO     | [server]host=127.0.0.1
2022-05-12 16:04:55,634 | ini_setup | INFO     | [server]port=8009
2022-05-12 16:04:55,634 | ini_setup | INFO     | [storage]url=mongodb://127.0.0.1:27017/envivioCluster
2022-05-12 16:04:55,635 | ini_setup | INFO     | return code 0
2022-05-12 16:04:55,635 | ini_setup | INFO     | ---
2022-05-13 11:41:16,551 | ini_setup | WARNING  | Invalid name for ENV VARS : CONTROLLER-CONFIG_SERVER_HOST
2022-05-13 11:41:16,552 | ini_setup | WARNING  | we will search for CONTROLLER_CONFIG_SERVER_HOST instead...
2022-05-13 11:41:16,552 | ini_setup | WARNING  | Invalid name for ENV VARS : CONTROLLER-CONFIG_SERVER_PORT
2022-05-13 11:41:16,552 | ini_setup | WARNING  | we will search for CONTROLLER_CONFIG_SERVER_PORT instead...
2022-05-13 11:41:16,552 | ini_setup | WARNING  | Invalid name for ENV VARS : CONTROLLER-CONFIG_STORAGE_PASSWORD
2022-05-13 11:41:16,552 | ini_setup | WARNING  | we will search for CONTROLLER_CONFIG_STORAGE_PASSWORD instead...
2022-05-13 11:41:16,552 | ini_setup | WARNING  | Invalid name for ENV VARS : CONTROLLER-CONFIG_STORAGE_URL
2022-05-13 11:41:16,552 | ini_setup | WARNING  | we will search for CONTROLLER_CONFIG_STORAGE_URL instead...
2022-05-13 11:41:16,552 | ini_setup | WARNING  | Invalid name for ENV VARS : CONTROLLER-CONFIG_STORAGE_USERNAME
2022-05-13 11:41:16,552 | ini_setup | WARNING  | we will search for CONTROLLER_CONFIG_STORAGE_USERNAME instead...
2022-05-13 11:41:16,552 | ini_setup | INFO     | configure /opt/ericsson/controller-config/etc/controller-config.ini from /opt/ericsson/controller-config/etc/controller-config.ini
2022-05-13 11:41:16,553 | ini_setup | INFO     | [server]host=127.0.0.1
2022-05-13 11:41:16,553 | ini_setup | INFO     | [server]port=8009
2022-05-13 11:41:16,553 | ini_setup | INFO     | [storage]url=mongodb://127.0.0.1:27017/envivioCluster
2022-05-13 11:41:16,553 | ini_setup | INFO     | return code 0
2022-05-13 11:41:16,553 | ini_setup | INFO     | ---
2022-07-12 18:57:38,635 | ini_setup | WARNING  | Invalid name for ENV VARS : CONTROLLER-CONFIG_SERVER_HOST
