2022-05-12 15:30:47,860 | ini_setup | WARNING  | Invalid name for ENV VARS : FAILOVER-API_SERVER_HOST
2022-05-12 15:30:47,860 | ini_setup | WARNING  | we will search for FAILOVER_API_SERVER_HOST instead...
2022-05-12 15:30:47,860 | ini_setup | WARNING  | Invalid name for ENV VARS : FAILOVER-API_SERVER_PORT
2022-05-12 15:30:47,860 | ini_setup | WARNING  | we will search for FAILOVER_API_SERVER_PORT instead...
2022-05-12 15:30:47,860 | ini_setup | WARNING  | Invalid name for ENV VARS : FAILOVER-API_STORAGE_URL
2022-05-12 15:30:47,860 | ini_setup | WARNING  | we will search for FAILOVER_API_STORAGE_URL instead...
2022-05-12 15:30:47,860 | ini_setup | WARNING  | Invalid name for ENV VARS : FAILOVER-API_STORAGE_USERNAME
2022-05-12 15:30:47,860 | ini_setup | WARNING  | we will search for FAILOVER_API_STORAGE_USERNAME instead...
2022-05-12 15:30:47,860 | ini_setup | WARNING  | Invalid name for ENV VARS : FAILOVER-API_STORAGE_PASSWORD
2022-05-12 15:30:47,861 | ini_setup | WARNING  | we will search for FAILOVER_API_STORAGE_PASSWORD instead...
2022-05-12 15:30:47,861 | ini_setup | WARNING  | Invalid name for ENV VARS : FAILOVER-API_STORAGE_LOCK_URL
2022-05-12 15:30:47,861 | ini_setup | WARNING  | we will search for FAILOVER_API_STORAGE_LOCK_URL instead...
2022-05-12 15:30:47,861 | ini_setup | WARNING  | Invalid name for ENV VARS : FAILOVER-API_STORAGE_LOCK_USERNAME
2022-05-12 15:30:47,861 | ini_setup | WARNING  | we will search for FAILOVER_API_STORAGE_LOCK_USERNAME instead...
2022-05-12 15:30:47,861 | ini_setup | WARNING  | Invalid name for ENV VARS : FAILOVER-API_STORAGE_LOCK_PASSWORD
2022-05-12 15:30:47,861 | ini_setup | WARNING  | we will search for FAILOVER_API_STORAGE_LOCK_PASSWORD instead...
2022-05-12 15:30:47,861 | ini_setup | WARNING  | Invalid name for ENV VARS : FAILOVER-API_API_RETRIES
2022-05-12 15:30:47,861 | ini_setup | WARNING  | we will search for FAILOVER_API_API_RETRIES instead...
2022-05-12 15:30:47,861 | ini_setup | WARNING  | Invalid name for ENV VARS : FAILOVER-API_API_RETRY_INTERVAL
2022-05-12 15:30:47,861 | ini_setup | WARNING  | we will search for FAILOVER_API_API_RETRY_INTERVAL instead...
2022-05-12 15:30:47,861 | ini_setup | WARNING  | Invalid name for ENV VARS : FAILOVER-API_API_TIMEOUT
2022-05-12 15:30:47,861 | ini_setup | WARNING  | we will search for FAILOVER_API_API_TIMEOUT instead...
2022-05-12 15:30:47,861 | ini_setup | WARNING  | Invalid name for ENV VARS : FAILOVER-API_API_SERVER_URL
2022-05-12 15:30:47,861 | ini_setup | WARNING  | we will search for FAILOVER_API_API_SERVER_URL instead...
