2022-05-12 15:30:48,047 | ini_setup | INFO     | configure /opt/ericsson/nmos-sidecar/etc/nmos-sidecar.ini from /opt/ericsson/nmos-sidecar/etc/nmos-sidecar.ini
2022-05-12 15:30:48,048 | ini_setup | INFO     | [messaging]backoff=5
2022-05-12 15:30:48,048 | ini_setup | INFO     | [messaging]timeout=10
2022-05-12 15:30:48,048 | ini_setup | INFO     | [messaging]url=amqp://guest:guest@localhost:5672/?heartbeat=30
2022-05-12 15:30:48,048 | ini_setup | INFO     | [server]host=127.0.0.1
2022-05-12 15:30:48,048 | ini_setup | INFO     | [server]port=8014
2022-05-12 15:30:48,048 | ini_setup | INFO     | [sidecar]data_model_refresh_url=http://localhost:3213
2022-05-12 15:30:48,048 | ini_setup | INFO     | [sidecar]nmos_url=http://localhost:3212
2022-05-12 15:30:48,048 | ini_setup | INFO     | [sidecar]push=False
2022-05-12 15:30:48,048 | ini_setup | INFO     | [sidecar]update_interval=60
2022-05-12 15:30:48,048 | ini_setup | INFO     | [storage]url=mongodb://127.0.0.1:27017/envivioCluster
2022-05-12 15:30:48,048 | ini_setup | INFO     | return code 0
2022-05-12 15:30:48,048 | ini_setup | INFO     | ---
2022-05-12 16:04:55,669 | ini_setup | INFO     | configure /opt/ericsson/nmos-sidecar/etc/nmos-sidecar.ini from /opt/ericsson/nmos-sidecar/etc/nmos-sidecar.ini
2022-05-12 16:04:55,669 | ini_setup | INFO     | [messaging]backoff=5
2022-05-12 16:04:55,669 | ini_setup | INFO     | [messaging]timeout=10
2022-05-12 16:04:55,669 | ini_setup | INFO     | [messaging]url=amqp://guest:guest@localhost:5672/?heartbeat=30
2022-05-12 16:04:55,669 | ini_setup | INFO     | [server]host=127.0.0.1
2022-05-12 16:04:55,669 | ini_setup | INFO     | [server]port=8014
2022-05-12 16:04:55,670 | ini_setup | INFO     | [sidecar]data_model_refresh_url=http://localhost:3213
2022-05-12 16:04:55,670 | ini_setup | INFO     | [sidecar]nmos_url=http://localhost:3212
2022-05-12 16:04:55,670 | ini_setup | INFO     | [sidecar]push=False
2022-05-12 16:04:55,670 | ini_setup | INFO     | [sidecar]update_interval=60
2022-05-12 16:04:55,670 | ini_setup | INFO     | [storage]url=mongodb://127.0.0.1:27017/envivioCluster
2022-05-12 16:04:55,670 | ini_setup | INFO     | return code 0
2022-05-12 16:04:55,670 | ini_setup | INFO     | ---
2022-05-13 11:41:16,588 | ini_setup | INFO     | configure /opt/ericsson/nmos-sidecar/etc/nmos-sidecar.ini from /opt/ericsson/nmos-sidecar/etc/nmos-sidecar.ini
2022-05-13 11:41:16,588 | ini_setup | INFO     | [messaging]backoff=5
2022-05-13 11:41:16,588 | ini_setup | INFO     | [messaging]timeout=10
2022-05-13 11:41:16,588 | ini_setup | INFO     | [messaging]url=amqp://guest:guest@localhost:5672/?heartbeat=30
2022-05-13 11:41:16,588 | ini_setup | INFO     | [server]host=127.0.0.1
2022-05-13 11:41:16,588 | ini_setup | INFO     | [server]port=8014
2022-05-13 11:41:16,588 | ini_setup | INFO     | [sidecar]data_model_refresh_url=http://localhost:3213
2022-05-13 11:41:16,588 | ini_setup | INFO     | [sidecar]nmos_url=http://localhost:3212
2022-05-13 11:41:16,588 | ini_setup | INFO     | [sidecar]push=False
2022-05-13 11:41:16,589 | ini_setup | INFO     | [sidecar]update_interval=60
2022-05-13 11:41:16,589 | ini_setup | INFO     | [storage]url=mongodb://127.0.0.1:27017/envivioCluster
2022-05-13 11:41:16,589 | ini_setup | INFO     | return code 0
2022-05-13 11:41:16,589 | ini_setup | INFO     | ---
2022-07-12 18:57:38,679 | ini_setup | INFO     | configure /opt/ericsson/nmos-sidecar/etc/nmos-sidecar.ini from /opt/ericsson/nmos-sidecar/etc/nmos-sidecar.ini
2022-07-12 18:57:38,680 | ini_setup | INFO     | [messaging]backoff=5
2022-07-12 18:57:38,680 | ini_setup | INFO     | [messaging]timeout=10
2022-07-12 18:57:38,680 | ini_setup | INFO     | [messaging]url=amqp://guest:guest@localhost:5672/?heartbeat=30
2022-07-12 18:57:38,680 | ini_setup | INFO     | [server]host=127.0.0.1
2022-07-12 18:57:38,680 | ini_setup | INFO     | [server]port=8014
2022-07-12 18:57:38,680 | ini_setup | INFO     | [sidecar]data_model_refresh_url=http://localhost:3213
2022-07-12 18:57:38,680 | ini_setup | INFO     | [sidecar]nmos_url=http://localhost:3212
2022-07-12 18:57:38,680 | ini_setup | INFO     | [sidecar]push=False
2022-07-12 18:57:38,680 | ini_setup | INFO     | [sidecar]update_interval=60
2022-07-12 18:57:38,680 | ini_setup | INFO     | [storage]url=mongodb://127.0.0.1:27017/envivioCluster
2022-07-12 18:57:38,680 | ini_setup | INFO     | return code 0
2022-07-12 18:57:38,680 | ini_setup | INFO     | ---
2022-07-12 19:36:57,757 | ini_setup | INFO     | configure /opt/ericsson/nmos-sidecar/etc/nmos-sidecar.ini from /opt/ericsson/nmos-sidecar/etc/nmos-sidecar.ini
2022-07-12 19:36:57,757 | ini_setup | INFO     | [messaging]backoff=5
2022-07-12 19:36:57,757 | ini_setup | INFO     | [messaging]timeout=10
2022-07-12 19:36:57,757 | ini_setup | INFO     | [messaging]url=amqp://guest:guest@localhost:5672/?heartbeat=30
2022-07-12 19:36:57,757 | ini_setup | INFO     | [server]host=127.0.0.1
2022-07-12 19:36:57,757 | ini_setup | INFO     | [server]port=8014
2022-07-12 19:36:57,757 | ini_setup | INFO     | [sidecar]data_model_refresh_url=http://localhost:3213
2022-07-12 19:36:57,757 | ini_setup | INFO     | [sidecar]nmos_url=http://localhost:3212
2022-07-12 19:36:57,757 | ini_setup | INFO     | [sidecar]push=False
2022-07-12 19:36:57,757 | ini_setup | INFO     | [sidecar]update_interval=60
