2022-05-12 15:30:38,868 | ini_setup | INFO     | configure /opt/ericsson/server-api/etc/server-api.ini from /opt/ericsson/server-api/etc/server-api.ini
2022-05-12 15:30:38,868 | ini_setup | INFO     | [general]expiration=10
2022-05-12 15:30:38,868 | ini_setup | INFO     | [server]host=127.0.0.1
2022-05-12 15:30:38,868 | ini_setup | INFO     | [server]port=8001
2022-05-12 15:30:38,868 | ini_setup | INFO     | [storage]url=mongodb://127.0.0.1:27017/envivioCluster
2022-05-12 15:30:38,868 | ini_setup | INFO     | return code 0
2022-05-12 15:30:38,868 | ini_setup | INFO     | ---
2022-05-12 16:04:45,254 | ini_setup | INFO     | configure /opt/ericsson/server-api/etc/server-api.ini from /opt/ericsson/server-api/etc/server-api.ini
2022-05-12 16:04:45,254 | ini_setup | INFO     | [general]expiration=10
2022-05-12 16:04:45,254 | ini_setup | INFO     | [server]host=127.0.0.1
2022-05-12 16:04:45,254 | ini_setup | INFO     | [server]port=8001
2022-05-12 16:04:45,254 | ini_setup | INFO     | [storage]url=mongodb://127.0.0.1:27017/envivioCluster
2022-05-12 16:04:45,255 | ini_setup | INFO     | return code 0
2022-05-12 16:04:45,255 | ini_setup | INFO     | ---
2022-05-13 11:41:06,122 | ini_setup | INFO     | configure /opt/ericsson/server-api/etc/server-api.ini from /opt/ericsson/server-api/etc/server-api.ini
2022-05-13 11:41:06,123 | ini_setup | INFO     | [general]expiration=10
2022-05-13 11:41:06,123 | ini_setup | INFO     | [server]host=127.0.0.1
2022-05-13 11:41:06,123 | ini_setup | INFO     | [server]port=8001
2022-05-13 11:41:06,123 | ini_setup | INFO     | [storage]url=mongodb://127.0.0.1:27017/envivioCluster
2022-05-13 11:41:06,123 | ini_setup | INFO     | return code 0
2022-05-13 11:41:06,123 | ini_setup | INFO     | ---
2022-07-12 18:57:26,499 | ini_setup | INFO     | configure /opt/ericsson/server-api/etc/server-api.ini from /opt/ericsson/server-api/etc/server-api.ini
2022-07-12 18:57:26,499 | ini_setup | INFO     | [general]expiration=10
2022-07-12 18:57:26,499 | ini_setup | INFO     | [server]host=127.0.0.1
2022-07-12 18:57:26,499 | ini_setup | INFO     | [server]port=8001
2022-07-12 18:57:26,499 | ini_setup | INFO     | [storage]url=mongodb://127.0.0.1:27017/envivioCluster
2022-07-12 18:57:26,499 | ini_setup | INFO     | return code 0
2022-07-12 18:57:26,500 | ini_setup | INFO     | ---
2022-07-12 19:36:46,514 | ini_setup | INFO     | configure /opt/ericsson/server-api/etc/server-api.ini from /opt/ericsson/server-api/etc/server-api.ini
2022-07-12 19:36:46,515 | ini_setup | INFO     | [general]expiration=10
2022-07-12 19:36:46,515 | ini_setup | INFO     | [server]host=127.0.0.1
2022-07-12 19:36:46,515 | ini_setup | INFO     | [server]port=8001
2022-07-12 19:36:46,515 | ini_setup | INFO     | [storage]url=mongodb://127.0.0.1:27017/envivioCluster
2022-07-12 19:36:46,515 | ini_setup | INFO     | return code 0
2022-07-12 19:36:46,515 | ini_setup | INFO     | ---
2023-08-08 00:31:59,302 | ini_setup | INFO     | configure /opt/ericsson/server-api/etc/server-api.ini from /opt/ericsson/server-api/etc/server-api.ini
2023-08-08 00:31:59,303 | ini_setup | INFO     | [general]expiration=10
2023-08-08 00:31:59,303 | ini_setup | INFO     | [server]host=127.0.0.1
2023-08-08 00:31:59,303 | ini_setup | INFO     | [server]port=8001
2023-08-08 00:31:59,303 | ini_setup | INFO     | [storage]url=mongodb://127.0.0.1:27017/envivioCluster
2023-08-08 00:31:59,303 | ini_setup | INFO     | return code 0
2023-08-08 00:31:59,303 | ini_setup | INFO     | ---
