itself=False
2022-05-12 16:04:55,491 | ini_setup | INFO     | [general]ready_file_path=/var/run/ericsson/server-monitor/ready
2022-05-12 16:04:55,492 | ini_setup | INFO     | [general]server_id=standalone
2022-05-12 16:04:55,492 | ini_setup | INFO     | [messaging]server_url=amqp://guest:guest@localhost:5672/?heartbeat=30
2022-05-12 16:04:55,492 | ini_setup | INFO     | [storage]url=mongodb://127.0.0.1:27017/envivioCluster
2022-05-12 16:04:55,492 | ini_setup | INFO     | [storage_lock]url=mongodb://127.0.0.1:27017/mediakindMongolock
2022-05-12 16:04:55,492 | ini_setup | INFO     | [time]interval=1
2022-05-12 16:04:55,492 | ini_setup | INFO     | return code 0
2022-05-12 16:04:55,492 | ini_setup | INFO     | ---
2022-05-13 11:41:16,400 | ini_setup | WARNING  | Invalid name for ENV VARS : SERVER-MONITOR_ALARM_PUBLISHER_ID
2022-05-13 11:41:16,400 | ini_setup | WARNING  | we will search for SERVER_MONITOR_ALARM_PUBLISHER_ID instead...
2022-05-13 11:41:16,400 | ini_setup | WARNING  | Invalid name for ENV VARS : SERVER-MONITOR_ALARM_RESYNC_INTERVAL
2022-05-13 11:41:16,400 | ini_setup | WARNING  | we will search for SERVER_MONITOR_ALARM_RESYNC_INTERVAL instead...
2022-05-13 11:41:16,400 | ini_setup | WARNING  | Invalid name for ENV VARS : SERVER-MONITOR_API_SERVER_URL
2022-05-13 11:41:16,401 | ini_setup | WARNING  | we will search for SERVER_MONITOR_API_SERVER_URL instead...
2022-05-13 11:41:16,401 | ini_setup | WARNING  | Invalid name for ENV VARS : SERVER-MONITOR_API_TIMEOUT
2022-05-13 11:41:16,401 | ini_setup | WARNING  | we will search for SERVER_MONITOR_API_TIMEOUT instead...
2022-05-13 11:41:16,401 | ini_setup | WARNING  | Invalid name for ENV VARS : SERVER-MONITOR_API_WAIT_ON_ERROR
2022-05-13 11:41:16,401 | ini_setup | WARNING  | we will search for SERVER_MONITOR_API_WAIT_ON_ERROR instead...
2022-05-13 11:41:16,401 | ini_setup | WARNING  | Invalid name for ENV VARS : SERVER-MONITOR_GENERAL_EXCLUDE_ITSELF
2022-05-13 11:41:16,401 | ini_setup | WARNING  | we will search for SERVER_MONITOR_GENERAL_EXCLUDE_ITSELF instead...
2022-05-13 11:41:16,401 | ini_setup | WARNING  | Invalid name for ENV VARS : SERVER-MONITOR_GENERAL_READY_FILE_PATH
2022-05-13 11:41:16,401 | ini_setup | WARNING  | we will search for SERVER_MONITOR_GENERAL_READY_FILE_PATH instead...
2022-05-13 11:41:16,401 | ini_setup | WARNING  | Invalid name for ENV VARS : SERVER-MONITOR_GENERAL_SERVER_ID
2022-05-13 11:41:16,401 | ini_setup | WARNING  | we will search for SERVER_MONITOR_GENERAL_SERVER_ID instead...
2022-05-13 11:41:16,401 | ini_setup | WARNING  | Invalid name for ENV VARS : SERVER-MONITOR_MESSAGING_SERVER_URL
2022-05-13 11:41:16,401 | ini_setup | WARNING  | we will search for SERVER_MONITOR_MESSAGING_SERVER_URL instead...
2022-05-13 11:41:16,401 | ini_setup | WARNING  | Invalid name for ENV VARS : SERVER-MONITOR_STORAGE_PASSWORD
2022-05-13 11:41:16,401 | ini_setup | WARNING  | we will search for SERVER_MONITOR_STORAGE_PASSWORD instead...
2022-05-13 11:41:16,401 | ini_setup | WARNING  | Invalid name for ENV VARS : SERVER-MONITOR_STORAGE_URL
2022-05-13 11:41:16,401 | ini_setup | WARNING  | we will search for SERVER_MONITOR_STORAGE_URL instead...
2022-05-13 11:41:16,402 | ini_setup | WARNING  | Invalid name for ENV VARS : SERVER-MONITOR_STORAGE_USERNAME
2022-05-13 11:41:16,402 | ini_setup | WARNING  | we will search for SERVER_MONITOR_STORAGE_USERNAME instead...
