2022-05-12 15:30:47,924 | ini_setup | WARNING  | Invalid name for ENV VARS : SNMP-NOTIFICATION_SERVER_HOST
2022-05-12 15:30:47,924 | ini_setup | WARNING  | we will search for SNMP_NOTIFICATION_SERVER_HOST instead...
2022-05-12 15:30:47,924 | ini_setup | WARNING  | Invalid name for ENV VARS : SNMP-NOTIFICATION_SERVER_PORT
2022-05-12 15:30:47,924 | ini_setup | WARNING  | we will search for SNMP_NOTIFICATION_SERVER_PORT instead...
2022-05-12 15:30:47,924 | ini_setup | WARNING  | Invalid name for ENV VARS : SNMP-NOTIFICATION_STORAGE_USERNAME
2022-05-12 15:30:47,924 | ini_setup | WARNING  | we will search for SNMP_NOTIFICATION_STORAGE_USERNAME instead...
2022-05-12 15:30:47,924 | ini_setup | WARNING  | Invalid name for ENV VARS : SNMP-NOTIFICATION_STORAGE_PASSWORD
2022-05-12 15:30:47,924 | ini_setup | WARNING  | we will search for SNMP_NOTIFICATION_STORAGE_PASSWORD instead...
2022-05-12 15:30:47,924 | ini_setup | WARNING  | Invalid name for ENV VARS : SNMP-NOTIFICATION_STORAGE_URL
2022-05-12 15:30:47,924 | ini_setup | WARNING  | we will search for SNMP_NOTIFICATION_STORAGE_URL instead...
2022-05-12 15:30:47,924 | ini_setup | WARNING  | Invalid name for ENV VARS : SNMP-NOTIFICATION_MESSAGING_SERVER_URL
2022-05-12 15:30:47,925 | ini_setup | WARNING  | we will search for SNMP_NOTIFICATION_MESSAGING_SERVER_URL instead...
2022-05-12 15:30:47,925 | ini_setup | WARNING  | Invalid name for ENV VARS : SNMP-NOTIFICATION_SNMP_RAW_MIB_FOLDER
2022-05-12 15:30:47,925 | ini_setup | WARNING  | we will search for SNMP_NOTIFICATION_SNMP_RAW_MIB_FOLDER instead...
2022-05-12 15:30:47,925 | ini_setup | WARNING  | Invalid name for ENV VARS : SNMP-NOTIFICATION_SNMP_COMPILED_MIB_FOLDER
2022-05-12 15:30:47,925 | ini_setup | WARNING  | we will search for SNMP_NOTIFICATION_SNMP_COMPILED_MIB_FOLDER instead...
