2022-05-12 15:30:38,804 | ini_setup | INFO     | configure /opt/ericsson/unified-ui/etc/unified-ui.ini from /opt/ericsson/unified-ui/etc/unified-ui.ini
2022-05-12 15:30:38,804 | ini_setup | INFO     | [backup]copy_name=envivioClusterCopy
2022-05-12 15:30:38,804 | ini_setup | INFO     | [backup]directory=/var/opt/ericsson/unified-ui/dumps
2022-05-12 15:30:38,805 | ini_setup | INFO     | [backup]excludes=module,job,django_session,server_info,server_status,notification_message_count
2022-05-12 15:30:38,805 | ini_setup | INFO     | [backup]host=127.0.0.1
2022-05-12 15:30:38,805 | ini_setup | INFO     | [backup]max_db_backups=30
2022-05-12 15:30:38,805 | ini_setup | INFO     | [backup]name=envivioCluster
2022-05-12 15:30:38,805 | ini_setup | INFO     | [backup]port=27017
2022-05-12 15:30:38,805 | ini_setup | INFO     | [backup]timeout=50
2022-05-12 15:30:38,805 | ini_setup | INFO     | [celery]worker_concurrency=2
2022-05-12 15:30:38,805 | ini_setup | INFO     | [comms]interface_discovery_addr=127.0.0.1
2022-05-12 15:30:38,805 | ini_setup | INFO     | [comms]interface_discovery_port=8200
2022-05-12 15:30:38,805 | ini_setup | INFO     | [comms]timeout=10
2022-05-12 15:30:38,805 | ini_setup | INFO     | [demo]dynamic_tag=dynamic
2022-05-12 15:30:38,805 | ini_setup | INFO     | [demo]enabled=False
2022-05-12 15:30:38,805 | ini_setup | INFO     | [demo]launch_control_addr=localhost
2022-05-12 15:30:38,805 | ini_setup | INFO     | [demo]launch_control_port=8011
2022-05-12 15:30:38,805 | ini_setup | INFO     | [demo]mdt_cluster_url=cluster_url
2022-05-12 15:30:38,805 | ini_setup | INFO     | [demo]mdt_embedded=False
2022-05-12 15:30:38,805 | ini_setup | INFO     | [demo]mdt_profile_url=mdt-url
2022-05-12 15:30:38,805 | ini_setup | INFO     | [features]alarm_sounds=False
2022-05-12 15:30:38,805 | ini_setup | INFO     | [features]applications_page=False
2022-05-12 15:30:38,805 | ini_setup | INFO     | [features]automation=False
2022-05-12 15:30:38,805 | ini_setup | INFO     | [features]backup_restore=False
2022-05-12 15:30:38,805 | ini_setup | INFO     | [features]clusters_page=False
2022-05-12 15:30:38,805 | ini_setup | INFO     | [features]external_links=False
2022-05-12 15:30:38,805 | ini_setup | INFO     | [features]failover=False
2022-05-12 15:30:38,805 | ini_setup | INFO     | [features]mass_configuration=False
2022-05-12 15:30:38,805 | ini_setup | INFO     | [features]router_configuration=False
